,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,RD,0.18,D,VVS1,VG,"1,599",288
1,RD,0.18,G,VS2,VG,855,154
2,RD,0.18,E,SI1,VG,"1,250",225
3,RD,0.18,F,SI1,VG,"1,125",202
4,RD,0.18,E,SI1,VG,"1,150",207
5,RD,0.18,I,SI1,VG,840,151
6,RD,0.18,G,VVS2,VG,"1,129",203
7,RD,0.18,I,VVS1,VG,"1,109",200
8,RD,0.18,F,SI1,VG,999,180
9,RD,0.18,E,VVS2,VG,"1,259",227
10,RD,0.18,D,VS2,VG,"1,189",214
11,RD,0.18,D,VVS2,VG,"1,525",275
12,RD,0.18,F,VVS1,VG,"1,525",275
13,RD,0.18,E,IF,VG,"1,725",310
14,RD,0.18,E,VVS2,VG,"1,725",310
15,RD,0.18,E,VS1,VG,"1,675",302
16,RD,0.18,E,VS1,VG,"1,675",302
17,RD,0.18,E,VS1,VG,"1,675",302
18,RD,0.18,E,VS1,VG,"1,675",302
19,RD,0.18,F,VVS1,VG,"1,725",310
20,RD,0.18,F,VS1,VG,"1,675",302
21,RD,0.18,F,IF,VG,"1,525",275
22,RD,0.18,I,SI1,VG,"2,055",370
23,RD,0.18,G,VS2,VG,"1,140",205
24,RD,0.18,G,SI2,VG,954,172
25,RD,0.18,F,SI2,VG,"1,058",190
26,RD,0.18,H,SI1,VG,"1,164",210
27,RD,0.18,E,SI2,VG,948,171
28,RD,0.18,I,VVS1,VG,999,180
29,RD,0.18,F,VVS2,VG,"1,279",230
30,RD,0.18,D,SI1,VG,"1,149",207
31,RD,0.18,G,SI2,VG,694,125
32,RD,0.18,D,SI1,VG,751,135
33,RD,0.18,F,SI2,VG,859,155
34,RD,0.18,D,SI2,VG,810,146
35,RD,0.18,E,VVS1,VG,"1,148",207
36,RD,0.18,D,VS1,VG,932,168
37,RD,0.18,H,VVS2,VG,"1,139",205
38,RD,0.18,I,VVS2,VG,"1,089",196
39,RD,0.18,D,VS1,VG,"1,211",218
40,RD,0.18,D,VS1,VG,"1,256",226
41,RD,0.18,H,VVS2,VG,"1,122",202
42,RD,0.18,E,VS2,VG,"1,172",211
43,RD,0.18,D,VS1,VG,"1,189",214
44,RD,0.18,D,VS2,VG,"1,194",215
45,RD,0.18,D,VS2,VG,"1,189",214
46,RD,0.18,H,IF,VG,"1,261",227
47,RD,0.18,D,SI1,VG,"1,122",202
48,RD,0.18,G,VS1,VG,"1,089",196
49,RD,0.18,E,VS2,VG,"1,167",210
50,RD,0.18,E,VVS1,VG,"1,461",263
