,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,AS,0.29,G,SI1,,954,277
1,AS,0.29,H,VS2,G,316,72.4
2,AS,0.30,F,VVS1,,"1,396",419
3,AS,0.30,D,SI1,G,360,64.4
4,AS,0.30,E,VS2,,"1,396",419
5,AS,0.30,E,VVS1,,"1,397",419
6,AS,0.30,G,VS2,G,364,60.8
7,AS,0.30,D,VVS1,,"1,396",419
8,AS,0.30,G,VVS2,VG,367,69.2
9,AS,0.30,F,SI1,G,302,70.4
10,AS,0.30,H,SI1,G,308,71
11,AS,0.30,G,SI1,G,293,70.4
12,AS,0.30,D,SI1,VG,335,65.8
13,AS,0.30,F,SI1,G,293,70.8
14,AS,0.30,H,VVS1,VG,393,66.5
15,AS,0.30,G,VVS1,G,381,70.9
16,AS,0.30,E,VVS2,,"1,396",419
17,AS,0.30,E,SI1,G,382,70.3
18,AS,0.30,F,SI1,,884,265
19,AS,0.30,E,SI1,,"1,222",367
20,AS,0.30,H,VVS2,VG,347,69.9
21,AS,0.30,E,SI1,VG,362,69.8
22,AS,0.30,E,VVS1,,"1,288",386
23,AS,0.30,D,SI2,,915,274
24,AS,0.30,G,VVS2,,"1,286",386
25,AS,0.30,D,VS1,,"1,323",397
26,AS,0.30,D,VS1,,"1,281",384
27,AS,0.30,D,VS2,,"1,178",353
28,AS,0.30,D,VS2,,"1,140",342
29,AS,0.30,D,SI1,,"1,071",321
30,AS,0.30,D,SI1,,"1,088",326
31,AS,0.30,D,SI1,,"1,020",306
32,AS,0.30,D,SI1,,"1,003",301
33,AS,0.30,D,SI1,,"1,105",332
34,AS,0.30,D,SI1,,"1,105",332
35,AS,0.30,D,SI2,,930,279
36,AS,0.30,D,SI2,,930,279
37,AS,0.30,E,VS2,,"1,080",324
38,AS,0.30,E,VS2,,"1,098",329
39,AS,0.30,G,VVS2,,"1,197",359
40,AS,0.30,E,SI1,,992,298
41,AS,0.30,E,SI1,,992,298
42,AS,0.30,E,SI1,,992,298
43,AS,0.30,E,SI1,,992,298
44,AS,0.30,E,SI1,,976,293
45,AS,0.30,E,SI1,,976,293
46,AS,0.30,G,SI1,,882,265
