,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,BG,0.18,J,VS1,,"1,600",288
1,BG,0.18,J,VS1,,"1,600",288
2,BG,0.20,G,SI1,,"1,137",227
3,BG,0.23,F,VVS2,VG,700,161
4,BG,0.23,D,VVS2,,"1,900",437
5,BG,0.23,E,VS2,,"1,900",437
6,BG,0.23,D,VVS2,,"2,900",667
7,BG,0.23,D,VVS2,,"2,900",667
8,BG,0.24,G,VVS1,,"1,800",432
9,BG,0.24,D,VVS1,,"1,900",456
10,BG,0.24,E,VVS2,,"2,850",684
11,BG,0.24,E,VVS2,,"2,850",684
12,BG,0.24,F,VS1,,"2,700",648
13,BG,0.24,F,VS1,,"2,700",648
14,BG,0.25,F,VVS2,,"3,800",950
15,BG,0.25,F,SI1,,"1,310",328
16,BG,0.25,E,IF,,"2,000",500
17,BG,0.25,F,VS1,,"3,100",775
18,BG,0.26,H,VVS2,,"2,200",572
19,BG,0.26,I,SI1,,"1,126",293
20,BG,0.27,G,SI1,,"1,192",322
21,BG,0.27,D,IF,,"2,200",594
22,BG,0.28,I,SI1,,"1,400",392
23,BG,0.28,H,VS1,,"1,750",490
24,BG,0.28,E,VVS2,,"1,900",532
25,BG,0.28,F,VS1,,"3,100",868
26,BG,0.29,E,VS2,VG,"2,712",786
27,BG,0.29,H,VS1,,"1,465",425
28,BG,0.29,F,VS1,,"3,000",870
29,BG,0.29,F,VS1,,"3,000",870
30,BG,0.30,D,IF,,"3,200",960
31,BG,0.30,F,VVS1,,"2,350",705
32,BG,0.30,F,VS1,,"2,350",705
33,BG,0.30,E,VS1,,"2,650",795
34,BG,0.30,D,VVS1,,"2,350",705
35,BG,0.30,E,VVS2,,"2,300",690
36,BG,0.30,F,VVS2,,"2,300",690
37,BG,0.30,F,VS2,,"2,300",690
38,BG,0.30,F,VS2,,"2,300",690
39,BG,0.30,E,VVS2,,"2,300",690
40,BG,0.30,G,VVS1,,"2,300",690
41,BG,0.30,F,VVS1,,"2,300",690
42,BG,0.30,E,VVS2,,"2,300",690
43,BG,0.30,E,VVS1,,"2,300",690
44,BG,0.30,E,VS1,,"2,300",690
45,BG,0.30,E,VVS1,,"2,300",690
46,BG,0.30,E,VS1,,"2,300",690
47,BG,0.30,F,VVS1,,"2,300",690
48,BG,0.30,D,SI1,,"2,100",630
49,BG,0.30,E,SI1,,"2,400",720
50,BG,0.30,D,SI1,,"2,056",617
51,BG,0.30,F,SI2,,"1,400",420
52,BG,0.30,D,SI1,,"1,791",537
53,BG,0.30,E,VS1,,"2,400",720
54,BG,0.30,F,VS2,,"2,400",720
55,BG,0.30,F,VVS2,,"2,800",840
56,BG,0.30,F,VS1,VG,"3,566","1,070"
57,BG,0.30,F,VS2,,"3,255",976
58,BG,0.30,F,VVS2,,"2,875",862
59,BG,0.30,D,VS2,,"2,900",870
60,BG,0.30,F,VVS1,,"2,400",720
61,BG,0.30,E,VVS2,,"4,200","1,260"
62,BG,0.30,F,VVS1,,"2,400",720
63,BG,0.30,F,VS1,,"2,400",720
64,BG,0.30,D,VS1,,"2,350",705
65,BG,0.30,D,VS1,,"2,350",705
66,BG,0.30,D,VVS2,,"3,800","1,140"
67,BG,0.30,D,VVS1,,"2,375",712
68,BG,0.30,D,VS2,,"2,400",720
69,BG,0.30,D,VS2,,"3,800","1,140"
70,BG,0.30,D,VS2,,"3,000",900
71,BG,0.30,F,VS2,,"2,400",720
72,BG,0.30,E,VS1,,"2,400",720
73,BG,0.30,E,SI1,G,"1,674",502
74,BG,0.30,H,VS2,G,"2,294",688
75,BG,0.30,E,SI1,EX,"2,300",690
76,BG,0.30,E,SI1,,"2,100",630
77,BG,0.30,J,SI1,,"1,400",420
78,BG,0.30,F,SI1,,"1,800",540
79,BG,0.30,J,VS1,,"3,200",960
80,BG,0.30,D,VS2,,"2,200",660
81,BG,0.30,H,IF,,"2,300",690
82,BG,0.30,D,SI1,,"1,450",435
83,BG,0.30,D,SI1,,"1,800",540
84,BG,0.30,F,VVS1,,"2,223",667
85,BG,0.30,E,VS1,,"2,400",720
86,BG,0.30,H,VVS2,,"2,200",660
87,BG,0.30,H,SI1,,"1,674",502
88,BG,0.30,H,SI1,G,"1,427",428
89,BG,0.30,I,VVS2,G,"1,600",480
90,BG,0.30,E,VS1,,"2,400",720
91,BG,0.30,E,VS1,,"2,400",720
92,BG,0.30,H,SI1,,"2,000",600
93,BG,0.30,G,VS1,,"2,700",810
94,BG,0.30,H,SI1,G,"1,781",534
95,BG,0.30,G,VS1,,"1,975",593
96,BG,0.30,D,SI1,,"1,800",540
97,BG,0.30,D,SI1,,"2,364",709
98,BG,0.30,E,VS2,,"3,200",960
99,BG,0.30,D,VS2,,"2,400",720
100,BG,0.30,D,VS2,,"2,100",630
101,BG,0.30,G,VS2,,"2,300",690
102,BG,0.30,E,SI1,,"1,775",532
103,BG,0.30,F,SI1,,"1,508",453
104,BG,0.30,F,SI1,,"1,350",405
105,BG,0.30,G,VS2,,"2,200",660
106,BG,0.30,D,VS2,,"1,900",570
107,BG,0.30,E,VS1,,"1,880",564
108,BG,0.30,D,SI1,,"1,802",541
109,BG,0.30,D,VS2,,"1,330",399
110,BG,0.30,D,SI1,,"1,139",342
111,BG,0.30,E,SI1,,"1,184",355
112,BG,0.30,D,VVS1,,"2,400",720
113,BG,0.30,D,VVS2,,"2,400",720
114,BG,0.30,D,VS2,,"2,400",720
115,BG,0.30,F,VS1,,"2,000",600
116,BG,0.30,G,VS2,,"1,440",432
117,BG,0.30,E,VS1,VG,"1,100",330
118,BG,0.30,D,SI1,,"1,213",364
119,BG,0.30,E,SI1,,"4,800","1,440"
120,BG,0.30,E,VS1,,"4,800","1,440"
121,BG,0.30,G,VVS1,,"1,840",552
122,BG,0.30,F,VS1,,"2,128",638
123,BG,0.30,F,VS1,,"2,223",667
124,BG,0.30,F,VS1,,"2,223",667
125,BG,0.30,F,VS2,,"1,394",418
126,BG,0.30,E,VVS2,,"2,750",825
127,BG,0.30,F,VS2,,"2,750",825
128,BG,0.30,I,SI2,,"1,500",450
129,BG,0.30,E,IF,,"2,200",660
130,BG,0.30,D,VVS1,,"2,300",690
131,BG,0.30,E,VVS1,,"2,450",735
132,BG,0.30,F,VS1,,"2,100",630
133,BG,0.30,D,VS1,,"2,350",705
134,BG,0.30,E,IF,,"2,350",705
135,BG,0.30,F,VS1,,"2,375",712
136,BG,0.30,E,VS1,,"2,100",630
137,BG,0.30,D,VS1,,"1,800",540
138,BG,0.30,E,VVS2,,"2,450",735
139,BG,0.30,E,VS2,,"2,400",720
140,BG,0.30,E,VVS2,,"1,625",488
141,BG,0.30,D,VS2,,"1,625",488
142,BG,0.30,E,VVS1,,"2,400",720
143,BG,0.30,D,VVS1,,"1,600",480
144,BG,0.30,D,VVS2,G,"3,502","1,051"
145,BG,0.30,E,VVS2,G,"2,716",815
146,BG,0.30,E,VS1,VG,"2,955",887
147,BG,0.30,E,VVS1,,"2,875",862
148,BG,0.30,E,VS2,,"2,536",761
149,BG,0.30,F,VS2,,"2,550",765
150,BG,0.30,D,VS2,VG,"2,955",887
151,BG,0.30,D,IF,,"3,200",960
152,BG,0.30,F,VS1,,"3,000",900
153,BG,0.30,D,VVS2,,"2,350",705
154,BG,0.30,E,VS1,,"2,200",660
155,BG,0.30,D,VS1,,"1,625",488
156,BG,0.30,E,VS1,,"1,975",592
157,BG,0.30,D,VVS1,,"2,415",724
158,BG,0.30,F,VS1,,"1,625",488
159,BG,0.30,F,VS1,,"2,375",712
160,BG,0.30,D,IF,G,"3,230",969
161,BG,0.30,F,VVS2,G,"3,199",960
162,BG,0.30,D,IF,G,"2,920",876
163,BG,0.30,F,VS2,G,"2,471",741
164,BG,0.30,D,IF,,"3,200",960
165,BG,0.30,E,VS2,,"2,375",712
166,BG,0.30,F,VS2,,"2,375",713
167,BG,0.30,F,VS1,,"2,375",712
168,BG,0.30,D,VVS2,,"2,800",840
169,BG,0.30,F,VS2,,"2,089",627
170,BG,0.30,E,VS2,,"2,583",775
171,BG,0.30,E,VVS2,,"2,753",826
172,BG,0.30,D,IF,,"3,255",976
173,BG,0.30,E,VS2,,"2,492",748
174,BG,0.30,E,VS1,,"2,400",720
175,BG,0.30,F,VS2,VG,"2,807",842
176,BG,0.30,F,VS2,G,"2,498",750
177,BG,0.30,D,VS2,,"2,920",876
178,BG,0.30,E,VVS2,,"2,898",869
179,BG,0.30,F,VVS1,,"1,908",572
180,BG,0.30,G,VVS1,,"1,781",534
181,BG,0.30,F,VS2,,"1,860",558
182,BG,0.30,D,VVS2,G,"2,176",653
183,BG,0.30,D,VVS2,,"1,978",593
184,BG,0.30,D,VS1,,"2,232",670
185,BG,0.30,D,VS1,,"1,781",534
186,BG,0.30,E,VS1,,"1,832",550
187,BG,0.30,E,VS1,,"1,601",480
188,BG,0.30,D,VVS2,,"2,232",670
189,BG,0.30,G,VS2,G,"2,049",615
190,BG,0.30,F,VVS2,,"2,064",619
191,BG,0.30,G,VVS2,,"2,683",805
192,BG,0.30,H,VS1,G,"1,975",593
193,BG,0.30,G,VVS2,G,"2,838",851
194,BG,0.30,H,VS2,VG,"2,449",735
195,BG,0.30,H,VVS2,G,"2,385",715
196,BG,0.30,G,VVS1,,"2,696",809
197,BG,0.30,H,VS2,G,"2,391",717
198,BG,0.30,G,VS1,,"2,300",690
199,BG,0.30,G,VVS1,,"2,325",697
200,BG,0.30,G,VVS2,,"2,000",600
201,BG,0.30,H,VVS2,VG,"3,167",950
202,BG,0.30,H,VS1,,"2,011",603
203,BG,0.30,H,VVS1,VG,"2,441",732
204,BG,0.30,G,VS2,VG,"2,246",674
205,BG,0.30,H,VVS1,,"2,441",732
206,BG,0.30,I,VS2,G,"1,860",558
207,BG,0.30,H,VVS2,,"2,300",690
208,BG,0.30,G,VS2,G,"2,134",640
209,BG,0.30,G,VS2,G,"2,368",710
210,BG,0.30,G,VVS2,,"3,200",960
211,BG,0.30,G,VVS2,,"3,200",960
212,BG,0.30,G,VS2,,"2,600",780
213,BG,0.30,G,VS1,,"1,900",570
214,BG,0.30,G,VS1,,"2,250",675
215,BG,0.30,G,VS1,,"2,250",675
216,BG,0.30,H,VVS1,,"2,075",622
217,BG,0.30,G,VVS1,,"2,300",690
218,BG,0.30,G,VS1,,"2,250",675
219,BG,0.30,G,VS2,,"1,975",593
220,BG,0.30,H,VS1,,"2,657",797
221,BG,0.30,H,VVS1,,"2,100",630
222,BG,0.30,H,VVS2,,"2,200",660
223,BG,0.30,G,VVS1,,"2,200",660
224,BG,0.30,G,VVS2,,"2,350",705
225,BG,0.30,F,VS2,,"3,906","1,172"
226,BG,0.30,D,VVS2,,"2,200",660
227,BG,0.30,E,VS1,,"1,837",551
228,BG,0.30,D,VVS2,,"1,978",593
229,BG,0.30,G,VS2,,"1,730",519
230,BG,0.30,F,VS2,,"2,843",853
231,BG,0.30,F,VVS1,,"2,875",862
232,BG,0.30,E,IF,,"2,300",690
233,BG,0.30,D,VVS1,,"2,300",690
234,BG,0.30,F,VVS2,,"2,675",803
235,BG,0.30,E,VS1,,"2,800",840
236,BG,0.30,D,VVS1,G,"2,168",650
237,BG,0.30,G,VVS2,,"2,088",627
238,BG,0.30,G,VVS2,G,"1,975",593
239,BG,0.30,E,VS2,,"3,398","1,020"
240,BG,0.30,D,VS2,G,"2,550",765
241,BG,0.30,D,VVS2,G,"2,232",670
242,BG,0.30,G,VVS1,G,"2,139",642
243,BG,0.30,D,VVS2,,"2,200",660
244,BG,0.30,F,VS1,,"2,200",660
245,BG,0.30,F,VVS2,G,"2,168",650
246,BG,0.30,G,VVS1,,"2,200",660
247,BG,0.31,E,VVS2,,"2,800",868
248,BG,0.31,I,VS2,,"1,900",589
249,BG,0.31,E,VVS2,,"2,300",713
250,BG,0.31,F,VVS1,,"2,300",713
251,BG,0.31,D,IF,,"4,596","1,425"
252,BG,0.31,E,SI1,,"1,316",408
253,BG,0.31,E,SI1,,"2,100",651
254,BG,0.31,E,VS2,,"2,900",899
255,BG,0.31,F,VS2,,"2,400",744
256,BG,0.31,E,VVS1,,"2,400",744
257,BG,0.31,D,VVS2,,"2,375",736
258,BG,0.31,E,IF,,"2,900",899
259,BG,0.31,E,SI1,G,"1,674",519
260,BG,0.31,D,SI1,G,"1,874",581
261,BG,0.31,G,VS2,,"2,100",651
262,BG,0.31,G,IF,,"2,200",682
263,BG,0.31,G,VVS1,,"1,932",599
264,BG,0.31,E,VVS2,,"2,400",744
265,BG,0.31,D,VVS1,,"2,725",845
266,BG,0.31,J,VVS2,,"2,200",682
267,BG,0.31,E,IF,,"2,200",682
268,BG,0.31,F,VS2,,"2,825",876
269,BG,0.31,D,VS2,,"2,200",682
270,BG,0.31,D,VS2,,"1,900",589
271,BG,0.31,D,VS1,,"2,375",736
272,BG,0.31,D,IF,G,"2,807",870
273,BG,0.31,D,VVS1,,"2,975",922
274,BG,0.31,E,VVS1,,"2,450",759
275,BG,0.31,D,VVS1,,"2,200",682
276,BG,0.31,E,VS1,,"2,400",744
277,BG,0.31,D,IF,G,"3,381","1,048"
278,BG,0.31,F,VVS1,,"2,400",744
279,BG,0.31,F,IF,G,"2,800",868
280,BG,0.31,D,VS1,G,"2,036",631
281,BG,0.31,E,VVS2,,"1,781",552
282,BG,0.31,F,VVS1,,"2,280",707
283,BG,0.31,E,VS1,G,"2,100",651
284,BG,0.31,E,IF,G,"2,135",662
285,BG,0.31,E,VVS2,G,"2,168",672
286,BG,0.31,G,VVS1,G,"2,183",677
287,BG,0.31,G,VS1,,"2,725",845
288,BG,0.31,G,VVS1,,"2,300",713
289,BG,0.31,H,VVS1,G,"2,536",786
290,BG,0.31,G,VVS2,,"2,775",860
291,BG,0.31,G,VS1,,"1,775",550
292,BG,0.31,I,VVS2,,"2,000",620
293,BG,0.31,H,VVS1,,"2,000",620
294,BG,0.31,G,VVS1,,"2,325",721
295,BG,0.31,I,VVS1,VG,"1,953",605
296,BG,0.31,G,VVS1,,"2,675",829
297,BG,0.31,F,VVS1,,"2,500",775
