,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,CI,0.30,H,VVS1,,"1,400",420
1,CI,0.51,F,VS2,,"3,000","1,530"
2,CI,0.54,I,VS2,,"1,900","1,026"
3,CI,0.57,G,SI2,,"1,700",969
4,CI,0.60,G,SI2,,"2,025","1,215"
5,CI,0.64,J,SI2,,"1,235",790
6,CI,0.69,G,SI1,,"2,300","1,587"
7,CI,0.73,H,SI1,,"2,600","1,898"
8,CI,0.77,I,VS2,,"2,200","1,694"
9,CI,0.98,H,SI1,,"3,900","3,822"
10,CI,1.06,J,SI1,,"4,240","4,494"
11,CI,1.06,J,SI1,,"4,240","4,494"
12,CI,1.32,H,SI2,,"3,808","5,027"
13,CI,1.63,I,SI1,,"6,300","10,269"
