,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,CU,0.28,G,VS2,,"1,120",314
1,CU,0.29,F,SI1,,882,256
2,CU,0.30,G,IF,,"1,491",447
3,CU,0.30,D,VVS1,,"1,700",510
4,CU,0.30,J,VVS1,,936,281
5,CU,0.30,D,VS2,,"1,216",365
6,CU,0.30,D,VVS2,,"1,265",380
7,CU,0.30,D,SI2,,"1,080",324
8,CU,0.30,D,SI1,,"1,224",367
9,CU,0.30,G,VS1,G,375,71.7
10,CU,0.30,D,VS1,,"1,272",382
11,CU,0.30,G,VS2,,"1,208",362
12,CU,0.30,G,VS2,G,362,71
13,CU,0.30,G,VS1,,"1,251",375
14,CU,0.30,G,VVS2,,"1,280",384
15,CU,0.30,D,VS1,EX,401,67.7
16,CU,0.30,D,SI1,,"1,198",360
17,CU,0.30,D,VVS1,,"1,512",454
18,CU,0.30,D,SI1,,"1,088",326
19,CU,0.30,I,VS2,,900,270
20,CU,0.30,E,IF,,"1,812",544
21,CU,0.30,D,VVS2,,"1,322",397
22,CU,0.30,E,VVS2,,"1,292",387
23,CU,0.30,D,VVS2,,"1,460",438
24,CU,0.30,D,VVS2,,"1,460",438
25,CU,0.30,D,SI2,,"1,080",324
26,CU,0.30,H,VVS1,,"1,098",329
27,CU,0.30,D,SI1,,"1,156",347
28,CU,0.30,D,VVS2,,"1,438",431
29,CU,0.30,E,VVS1,G,432,70
30,CU,0.30,D,VVS2,,"1,407",422
31,CU,0.30,G,VS1,G,375,72.2
32,CU,0.30,D,VVS1,,"1,470",441
33,CU,0.30,F,VS1,,"1,238",371
34,CU,0.30,D,VVS1,,"1,505",452
35,CU,0.30,D,VVS1,,"1,419",426
36,CU,0.30,E,VVS2,,"1,428",428
37,CU,0.30,E,SI1,,"1,120",336
38,CU,0.30,E,SI1,,"1,280",384
39,CU,0.30,G,VVS1,,"1,270",381
40,CU,0.30,E,VVS2,,"1,228",369
41,CU,0.30,E,VVS2,,"1,270",381
42,CU,0.30,I,VS2,VG,281,67.2
43,CU,0.30,I,VVS2,G,305,71.4
44,CU,0.30,I,VVS2,,"1,017",305
45,CU,0.30,H,VS1,G,331,72.7
46,CU,0.30,H,VVS1,,"1,187",356
47,CU,0.30,H,VS2,G,311,71.9
48,CU,0.30,H,VS2,,"1,017",305
49,CU,0.30,I,VS1,G,280,72.5
50,CU,0.30,H,VS2,G,311,71.5
