,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,AS,0.29,G,SI1,,954,277
1,AS,0.29,H,VS2,G,"1,090",316
2,AS,0.30,D,VS2,,"1,178",353
3,AS,0.30,F,SI1,,855,256
4,AS,0.30,E,VS2,,"1,134",340
5,AS,0.30,D,SI1,G,"1,202",360
6,AS,0.30,F,SI1,G,"1,005",302
7,AS,0.30,F,SI1,,884,265
8,AS,0.30,H,SI1,G,"1,027",308
9,AS,0.30,E,SI1,,"1,222",367
10,AS,0.30,D,SI1,VG,"1,117",335
11,AS,0.30,E,SI1,VG,"1,207",362
12,AS,0.30,E,SI1,G,"1,272",382
13,AS,0.30,D,SI1,,935,280
14,AS,0.30,D,SI1,,935,280
15,AS,0.30,D,SI1,,"1,003",301
16,AS,0.30,D,SI1,,"1,003",301
17,AS,0.30,D,SI2,,855,256
18,AS,0.30,D,SI2,,855,256
19,AS,0.30,F,SI1,,825,248
20,AS,0.30,F,SI1,,825,248
21,AS,0.30,F,SI1,,825,248
22,AS,0.30,E,SI1,,896,269
23,AS,0.30,E,SI1,,896,269
24,AS,0.30,E,SI1,,896,269
25,AS,0.30,F,SI1,,975,292
26,AS,0.30,F,SI1,G,977,293
27,AS,0.30,G,IF,EX,"1,129",339
28,AS,0.30,F,VS1,,"1,425",428
29,AS,0.30,G,VVS1,,"1,500",450
30,AS,0.31,D,IF,,"1,914",593
31,AS,0.31,E,SI2,,910,282
32,AS,0.31,F,SI1,G,977,303
33,AS,0.31,H,VS1,,"1,152",357
34,AS,0.31,D,SI2,,855,265
35,AS,0.31,D,SI2,,855,265
36,AS,0.31,F,SI1,,825,256
37,AS,0.31,E,SI1,,896,278
38,AS,0.31,E,VVS2,,"1,449",449
39,AS,0.32,D,SI1,,"1,037",332
40,AS,0.32,F,SI1,,855,274
41,AS,0.32,F,VVS2,,"1,400",448
42,AS,0.33,I,VS2,,900,297
43,AS,0.33,E,VVS2,,"1,218",402
44,AS,0.33,D,VS1,,"1,071",353
45,AS,0.33,J,VVS1,,"1,235",408
46,AS,0.34,F,VVS2,,"1,460",496
47,AS,0.35,D,VVS2,,"1,265",443
48,AS,0.35,G,SI1,,812,284
49,AS,0.36,D,VVS2,,"1,311",472
50,AS,0.36,F,VVS1,,"1,680",605
51,AS,0.37,E,VS2,,"1,134",420
52,AS,0.37,D,VVS2,,"1,755",649
53,AS,0.37,H,VVS1,,"1,404",519
54,AS,0.39,D,SI2,,855,333
55,AS,0.40,F,VVS2,,"1,659",664
56,AS,0.40,E,VS1,,"1,440",576
57,AS,0.40,H,VVS1,,"1,426",570
58,AS,0.40,I,VS2,,864,346
59,AS,0.40,H,VVS1,,"1,311",524
60,AS,0.40,H,VVS1,,"1,311",524
61,AS,0.40,H,VVS1,,"1,311",524
62,AS,0.40,D,VS2,,"1,127",451
63,AS,0.40,D,SI1,,980,392
64,AS,0.40,F,SI2,,840,336
65,AS,0.40,E,SI1,,"1,121",448
66,AS,0.40,E,SI1,,"1,121",448
67,AS,0.40,E,SI1,,"1,121",448
68,AS,0.40,E,SI1,,"1,121",448
69,AS,0.40,E,SI1,,"1,121",448
70,AS,0.40,G,VS2,,"1,400",560
71,AS,0.40,D,VS1,,"1,352",541
72,AS,0.40,H,IF,,"1,093",437
73,AS,0.40,E,VS1,,"1,488",595
74,AS,0.40,G,VS1,,"1,540",616
75,AS,0.40,I,VVS1,,"1,200",480
76,AS,0.40,I,VS2,,960,384
77,AS,0.40,F,VVS1,,"1,890",756
78,AS,0.40,E,SI2,,960,384
79,AS,0.40,H,VS2,,"1,170",468
80,AS,0.40,G,VS1,,"1,650",660
81,AS,0.40,G,VS1,,"1,694",678
82,AS,0.40,E,VS1,,"1,896",758
83,AS,0.41,G,VVS1,,"1,525",625
84,AS,0.41,D,SI1,,"1,160",476
85,AS,0.41,F,VVS2,,"1,500",615
86,AS,0.41,E,SI1,,"1,159",475
87,AS,0.41,I,VVS2,,"1,083",444
