,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,CU,0.27,F,SI1,EX,566,153
1,CU,0.28,G,VS2,,"1,120",314
2,CU,0.29,F,SI1,,882,256
3,CU,0.30,I,VVS2,G,"1,017",305
4,CU,0.30,I,VVS2,,"1,017",305
5,CU,0.30,H,VVS1,,"1,187",356
6,CU,0.30,I,VVS2,G,"1,017",305
7,CU,0.30,D,VS1,,"1,272",382
8,CU,0.30,D,VVS1,,"1,419",426
9,CU,0.30,E,VVS2,,"1,134",340
10,CU,0.30,I,VVS1,,928,278
11,CU,0.30,E,VVS2,,"1,197",359
12,CU,0.30,D,VS1,,"1,155",346
13,CU,0.30,E,VS1,,"1,120",336
14,CU,0.30,E,VS1,,"1,100",330
15,CU,0.30,D,SI1,,"1,088",326
16,CU,0.30,G,VVS2,,"1,064",319
17,CU,0.30,G,VVS2,,"1,064",319
18,CU,0.30,F,VS1,,"1,140",342
19,CU,0.30,D,VS1,,"1,239",372
20,CU,0.30,D,VVS2,VG,"1,151",345
21,CU,0.30,E,VS1,,"1,120",336
22,CU,0.30,G,VS1,,"1,260",378
23,CU,0.30,H,VS2,,"1,250",375
24,CU,0.30,D,VS1,VG,897,269
25,CU,0.30,D,VS1,VG,947,284
26,CU,0.30,D,VS1,VG,893,268
27,CU,0.30,D,VS1,VG,913,274
28,CU,0.30,D,VS1,VG,893,268
29,CU,0.30,H,SI1,EX,"1,085",326
30,CU,0.30,D,VS1,EX,"1,335",401
31,CU,0.30,D,VVS1,,"1,505",452
32,CU,0.30,E,VVS1,G,"1,441",432
33,CU,0.30,F,VS1,,"1,238",371
34,CU,0.30,G,VS1,,"1,251",375
35,CU,0.30,D,VVS1,,"1,470",441
36,CU,0.30,G,VS1,G,"1,251",375
37,CU,0.30,G,VVS2,,"1,280",384
38,CU,0.30,G,VS1,G,"1,251",375
39,CU,0.30,D,VVS2,,"1,407",422
40,CU,0.30,I,VVS1,EX,973,292
41,CU,0.30,F,VVS1,EX,"1,132",340
42,CU,0.30,E,VVS1,EX,"1,184",355
43,CU,0.30,D,SI1,EX,876,263
44,CU,0.30,F,SI1,EX,772,232
45,CU,0.30,E,VS2,EX,927,278
46,CU,0.30,F,VVS2,EX,"1,030",309
47,CU,0.30,D,VVS2,,"1,660",498
48,CU,0.30,E,VVS2,,"1,470",441
49,CU,0.31,D,VVS2,,"1,196",371
50,CU,0.31,E,VS1,,"1,060",329
51,CU,0.31,H,VVS2,,"1,003",311
52,CU,0.31,F,VVS2,,"1,120",347
53,CU,0.31,D,VS1,,"1,239",384
54,CU,0.31,G,VS2,,"1,165",361
55,CU,0.31,F,VVS1,,"1,365",423
56,CU,0.31,E,SI1,,"1,100",341
57,CU,0.31,J,VS1,,"1,100",341
58,CU,0.31,D,VVS2,EX,971,301
59,CU,0.31,G,SI2,EX,"1,300",403
60,CU,0.31,G,VVS2,G,"1,280",397
61,CU,0.31,G,VVS1,EX,"1,030",319
62,CU,0.31,E,VS2,EX,927,287
63,CU,0.31,E,VVS2,EX,"1,060",329
64,CU,0.31,F,SI2,EX,670,208
65,CU,0.32,H,VVS1,,"1,182",378
66,CU,0.32,D,VVS1,,"1,325",424
67,CU,0.32,D,VVS2,,"1,173",375
68,CU,0.32,D,VS1,,"1,239",396
69,CU,0.32,D,VS2,,"1,159",371
70,CU,0.32,D,VS1,,"1,197",383
71,CU,0.32,D,IF,,"1,800",576
72,CU,0.32,I,VVS1,EX,916,293
73,CU,0.32,I,VS2,EX,"1,095",350
74,CU,0.33,D,VS1,,"2,100",693
75,CU,0.33,J,VVS1,,832,275
76,CU,0.33,E,VS2,,"1,080",356
77,CU,0.33,E,VVS1,,"1,419",468
78,CU,0.34,E,VS1,G,"1,314",447
79,CU,0.35,E,VS1,,"1,300",455
80,CU,0.35,G,IF,EX,"1,178",412
81,CU,0.36,G,VVS1,,"1,240",446
82,CU,0.36,G,VS1,EX,927,334
83,CU,0.37,E,VS1,,"1,060",392
84,CU,0.38,I,VVS1,,912,347
85,CU,0.38,F,VVS1,,"1,365",519
86,CU,0.39,G,VS2,,"1,165",454
87,CU,0.39,E,VS2,,"1,230",480
88,CU,0.40,H,VVS2,,"1,616",646
89,CU,0.40,G,VVS1,,"1,625",650
90,CU,0.40,G,SI1,,"1,190",476
91,CU,0.40,F,IF,,"1,740",696
92,CU,0.40,G,VS1,,"1,426",570
93,CU,0.40,D,VVS2,,"2,100",840
94,CU,0.40,F,VS2,,"2,000",800
