,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,EC,0.18,G,IF,,"1,151",207
1,EC,0.18,E,VVS2,,"1,260",227
2,EC,0.18,D,VS2,,917,165
3,EC,0.18,D,SI1,,940,169
4,EC,0.18,E,VS1,,"1,114",200
5,EC,0.18,E,VS1,,"1,003",181
6,EC,0.18,F,VVS2,,772,139
7,EC,0.18,F,VS1,,959,173
8,EC,0.18,F,VS1,,744,134
9,EC,0.18,G,VVS2,,939,169
10,EC,0.18,G,VS1,,881,159
11,EC,0.18,D,IF,,"1,116",201
12,EC,0.18,E,SI2,EX,441,79
13,EC,0.18,F,VVS1,EX,958,172
14,EC,0.18,F,SI1,EX,986,177
15,EC,0.19,D,IF,,"1,281",243
16,EC,0.19,E,IF,,"1,291",245
17,EC,0.19,E,VVS1,,"1,341",255
18,EC,0.19,F,VS2,,886,168
19,EC,0.19,H,VS2,,772,147
20,EC,0.19,D,VVS1,EX,933,177
21,EC,0.19,E,VS2,EX,832,158
22,EC,0.19,E,SI1,EX,713,135
23,EC,0.19,E,VS1,EX,728,138
24,EC,0.19,G,VVS2,EX,813,155
25,EC,0.19,F,VS2,EX,655,124
26,EC,0.2,D,SI1,,930,186
27,EC,0.2,F,IF,EX,921,184
28,EC,0.2,E,VS1,EX,914,183
29,EC,0.21,H,VS2,EX,895,188
30,EC,0.22,F,VVS2,EX,"1,040",229
31,EC,0.22,E,VVS2,EX,"1,245",274
32,EC,0.23,D,VVS1,,"1,803",415
33,EC,0.23,D,IF,,"1,803",415
34,EC,0.23,D,VVS1,,"1,739",400
35,EC,0.23,D,VS1,,"1,330",306
36,EC,0.23,G,SI1,,768,177
37,EC,0.23,E,VS1,EX,"1,157",266
38,EC,0.23,F,SI2,EX,722,166
39,EC,0.23,E,VS1,EX,"1,273",293
40,EC,0.24,D,VVS1,,"1,739",417
41,EC,0.24,I,VVS2,,"1,133",272
42,EC,0.24,E,SI1,,"1,279",307
43,EC,0.24,E,SI1,,774,186
44,EC,0.24,G,VS2,EX,"1,117",268
45,EC,0.24,H,VS2,EX,"1,117",268
46,EC,0.24,F,VVS2,EX,"1,330",319
47,EC,0.24,G,VS2,EX,"1,059",254
48,EC,0.24,D,VVS2,EX,"1,116",268
49,EC,0.24,D,VVS2,EX,"1,223",293
50,EC,0.25,E,VVS1,,"1,288",322
51,EC,0.26,D,VVS1,,"1,771",460
52,EC,0.26,G,VVS1,,"1,405",365
53,EC,0.26,E,SI1,,"1,279",333
54,EC,0.26,F,VVS1,,805,209
55,EC,0.26,H,SI1,,800,208
56,EC,0.26,G,VS1,EX,"1,153",300
57,EC,0.26,F,VVS1,EX,"1,223",318
58,EC,0.26,F,VVS1,EX,"1,223",318
59,EC,0.26,E,VVS2,EX,"1,333",347
60,EC,0.27,F,SI2,,"1,222",330
61,EC,0.27,D,VVS1,,"1,175",317
62,EC,0.27,F,SI1,,"1,079",291
63,EC,0.27,G,VVS2,EX,"1,071",289
64,EC,0.28,H,VVS2,,"1,738",487
65,EC,0.28,F,SI1,,"1,045",293
66,EC,0.28,D,VVS2,,934,261
67,EC,0.28,F,SI2,VG,696,195
68,EC,0.28,F,VVS1,,"1,594",446
69,EC,0.29,D,VS1,,"1,568",455
70,EC,0.29,D,VS1,,"1,386",402
71,EC,0.29,D,VS2,,"1,358",394
72,EC,0.29,E,VVS2,,"1,594",462
73,EC,0.29,E,VVS2,,"1,481",430
74,EC,0.29,F,SI1,,"1,045",303
75,EC,0.29,F,VS1,,"1,386",402
76,EC,0.29,J,VS1,,792,230
77,EC,0.29,E,VVS2,,"1,095",317
