,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,OV,0.18,D,VVS1,,"1,454",262
1,OV,0.18,D,VS2,,"1,180",212
2,OV,0.18,E,VVS2,,"1,373",247
3,OV,0.18,E,VS2,,"1,135",204
4,OV,0.18,G,VS1,,"1,348",243
5,OV,0.18,D,SI2,EX,625,112
6,OV,0.18,F,SI1,EX,713,128
7,OV,0.18,E,VS2,EX,853,153
8,OV,0.18,D,VVS2,EX,"1,393",251
9,OV,0.18,E,VS2,,754,136
10,OV,0.18,F,VS2,,928,167
11,OV,0.19,F,VS1,,"1,219",232
12,OV,0.19,H,VVS2,,951,181
13,OV,0.19,F,SI2,EX,603,114
14,OV,0.19,F,VS2,EX,863,164
15,OV,0.19,D,VS1,EX,"1,126",214
16,OV,0.19,D,SI1,EX,807,153
17,OV,0.19,H,VS2,EX,"1,037",197
18,OV,0.20,E,SI1,,"1,098",220
19,OV,0.20,D,VS2,,"1,433",287
20,OV,0.21,D,VVS2,,"1,395",293
21,OV,0.21,G,VVS1,,"1,257",264
22,OV,0.22,E,VVS2,,"1,496",329
23,OV,0.23,D,VVS2,,"1,675",385
24,OV,0.23,D,VS1,,"2,030",467
25,OV,0.23,E,SI2,,893,205
26,OV,0.23,H,VS2,,"1,815",417
27,OV,0.23,E,VS2,,"1,750",402
28,OV,0.23,F,VS2,,"1,820",419
29,OV,0.24,E,VVS1,,"1,449",348
30,OV,0.24,E,VVS1,,"1,449",348
31,OV,0.24,F,VVS2,,"1,320",317
32,OV,0.24,D,VVS1,,"1,497",359
33,OV,0.24,D,VVS1,,"1,497",359
34,OV,0.24,E,VVS2,,"1,352",325
35,OV,0.24,E,VVS2,,"1,352",325
36,OV,0.24,G,VVS1,,"1,255",301
37,OV,0.24,G,VVS1,,"1,480",355
38,OV,0.24,E,SI2,,"1,504",361
39,OV,0.24,G,IF,ID,"1,320",317
40,OV,0.24,G,VVS2,,"1,156",277
41,OV,0.24,D,IF,EX,"1,658",398
42,OV,0.24,E,VS2,,"1,750",420
43,OV,0.24,E,VS2,,"1,400",336
44,OV,0.24,D,VS2,,"2,100",504
45,OV,0.25,E,VVS1,,"1,449",362
46,OV,0.25,E,VVS1,,"1,449",362
47,OV,0.25,D,IF,,"1,723",431
48,OV,0.25,E,VVS1,,"1,449",362
49,OV,0.25,E,VVS1,,"1,401",350
50,OV,0.25,D,IF,,"1,739",435
51,OV,0.25,D,VVS1,,"1,497",374
52,OV,0.25,D,VVS1,,"1,497",374
53,OV,0.25,D,VVS1,,"1,497",374
54,OV,0.25,D,VVS1,,"1,465",366
55,OV,0.25,E,VVS1,,"1,481",370
56,OV,0.25,J,VVS2,,"1,652",413
57,OV,0.25,D,VVS2,,"2,093",523
58,OV,0.25,H,VS1,,"1,512",378
59,OV,0.25,D,VS2,,"1,190",298
60,OV,0.26,F,VS2,,"1,198",311
61,OV,0.26,E,VVS1,,"1,465",381
62,OV,0.26,D,IF,,"1,707",444
63,OV,0.26,D,VVS1,,"1,497",389
64,OV,0.26,D,VVS1,,"1,497",389
65,OV,0.26,D,VVS1,,"1,401",364
66,OV,0.26,E,VVS2,,"1,442",375
67,OV,0.26,F,SI1,,"1,595",415
68,OV,0.26,H,VS2,,"1,028",267
69,OV,0.26,E,VS1,,"2,030",528
70,OV,0.26,D,SI1,,"1,925",500
71,OV,0.27,E,VVS1,,"1,449",391
72,OV,0.27,D,VS2,,"1,212",327
73,OV,0.27,I,VVS2,,"1,003",271
74,OV,0.27,D,VVS1,,"1,417",383
75,OV,0.27,D,SI2,,"1,363",368
76,OV,0.27,E,SI2,,"1,457",393
77,OV,0.28,D,VVS1,,"1,513",424
78,OV,0.28,D,VVS2,,"1,433",401
79,OV,0.28,I,SI1,,"1,094",306
80,OV,0.28,D,VVS2,EX,"1,283",359
81,OV,0.28,D,VS1,,"1,470",412
82,OV,0.28,E,SI1,,"1,375",385
83,OV,0.29,H,VS1,,726,211
84,OV,0.29,F,VVS2,,"1,594",462
85,OV,0.29,F,VS1,,"1,386",402
86,OV,0.29,I,VVS1,,"1,534",445
87,OV,0.29,E,SI1,,792,230
88,OV,0.29,I,VVS2,,963,279
89,OV,0.29,H,VS2,,"1,120",325
90,OV,0.29,G,VS1,,952,276
91,OV,0.29,E,VVS1,EX,"1,487",431
92,OV,0.29,E,SI2,,"1,316",382
93,OV,0.29,D,SI1,,"1,595",463
94,OV,0.29,D,VS2,,"1,540",447
95,OV,0.29,E,VS2,,"2,030",589
96,OV,0.30,D,SI1,,"1,275",382
97,OV,0.30,D,VS2,,"1,526",458
98,OV,0.30,E,SI2,,"1,120",336
99,OV,0.30,D,SI1,,"1,343",403
100,OV,0.30,D,SI1,,"1,412",424
101,OV,0.30,D,SI2,,"1,231",369
102,OV,0.30,E,VS2,,"1,578",473
103,OV,0.30,E,VS2,,"1,578",473
104,OV,0.30,E,SI1,,"1,329",399
105,OV,0.30,D,VS2,,"1,661",498
106,OV,0.30,D,VS1,,"1,828",548
107,OV,0.30,D,VS1,,"1,723",517
108,OV,0.30,D,SI1,,"1,445",434
109,OV,0.30,D,VS1,,"1,617",485
110,OV,0.30,D,VS1,,"1,659",498
111,OV,0.30,E,VVS1,,"1,656",497
112,OV,0.30,E,VVS1,,"1,679",504
113,OV,0.30,E,SI2,,"1,106",332
114,OV,0.30,E,VVS2,,"1,512",454
115,OV,0.30,H,VVS2,,"1,292",388
116,OV,0.30,F,VVS2,,"2,000",600
117,OV,0.30,F,VVS2,,"1,560",468
118,OV,0.30,E,VVS2,,"1,638",491
119,OV,0.30,F,VVS2,,"1,560",468
120,OV,0.30,F,VVS2,,"1,560",468
121,OV,0.30,F,VVS2,,"1,760",528
122,OV,0.30,E,VS2,,"1,404",421
123,OV,0.30,E,VS1,,"1,560",468
124,OV,0.30,E,VS1,,"1,560",468
125,OV,0.30,E,VS2,,"1,404",421
126,OV,0.30,F,VS1,,"1,482",445
127,OV,0.30,F,VS1,,"1,482",445
128,OV,0.30,F,VS1,,"1,482",445
129,OV,0.30,F,VS2,,"1,326",398
130,OV,0.30,F,VS2,,"1,326",398
131,OV,0.30,D,VS2,,"1,900",570
132,OV,0.30,E,VS1,,"2,000",600
133,OV,0.30,E,VS1,,"2,000",600
134,OV,0.30,E,VS1,,"2,000",600
135,OV,0.30,E,VS2,,"1,800",540
136,OV,0.30,E,VS2,,"1,800",540
137,OV,0.30,F,VS1,,"1,900",570
138,OV,0.30,E,VS2,,"1,620",486
139,OV,0.30,E,VS2,,"1,620",486
140,OV,0.30,E,VS2,,"1,620",486
141,OV,0.30,E,VS2,,"1,620",486
142,OV,0.30,E,VS2,,"1,620",486
143,OV,0.30,E,VS2,,"1,620",486
144,OV,0.30,E,VS2,,"1,620",486
145,OV,0.30,E,SI1,,"1,440",432
146,OV,0.30,E,SI1,,"1,440",432
147,OV,0.30,E,SI1,,"1,440",432
148,OV,0.30,E,SI1,,"1,440",432
149,OV,0.30,F,SI1,,"1,350",405
150,OV,0.30,E,SI1,,"1,440",432
151,OV,0.30,D,SI1,,"1,530",459
152,OV,0.30,D,VVS2,,"1,518",455
153,OV,0.30,E,SI1,,"1,135",340
154,OV,0.30,D,VS2,,"1,544",463
155,OV,0.30,D,VS2,,"1,544",463
156,OV,0.30,D,VS2,,"1,468",440
157,OV,0.30,E,VS1,,"1,610",483
158,OV,0.30,E,VS1,,"1,545",464
159,OV,0.30,E,VS2,,"1,570",471
160,OV,0.30,E,VS2,,"1,557",467
161,OV,0.30,E,VS2,,"1,557",467
162,OV,0.30,E,VS2,,"1,593",478
163,OV,0.30,E,VS2,,"1,566",470
164,OV,0.30,E,VS2,,"1,580",474
165,OV,0.30,E,VS2,,"1,566",470
166,OV,0.30,E,VS2,,"1,598",479
167,OV,0.30,E,VS2,,"1,588",477
168,OV,0.30,E,VS2,,"1,557",467
169,OV,0.30,E,VS2,,"1,570",471
170,OV,0.30,E,VS2,,"1,566",470
171,OV,0.30,E,VS2,,"1,580",474
172,OV,0.30,E,VS2,,"1,503",451
173,OV,0.30,E,VS2,,"1,557",467
174,OV,0.30,E,VS2,,"1,611",483
175,OV,0.30,E,VS2,,"1,566",470
176,OV,0.30,E,VS2,,"1,598",479
177,OV,0.30,E,VS2,,"1,606",482
178,OV,0.30,E,VS2,,"1,584",475
179,OV,0.30,F,VVS1,,"1,680",504
180,OV,0.30,F,VVS1,,"1,628",488
181,OV,0.30,F,VS1,,"1,454",436
182,OV,0.30,F,VVS1,,"1,633",490
183,OV,0.30,F,VS1,,"1,544",463
184,OV,0.30,F,VS1,,"1,553",466
185,OV,0.30,G,VS2,,"1,432",430
186,OV,0.30,D,VS1,,"1,596",479
187,OV,0.30,E,VS1,,"1,197",359
188,OV,0.30,E,VS1,,"1,323",397
189,OV,0.30,F,SI2,,"1,050",315
190,OV,0.30,H,SI1,,975,292
191,OV,0.30,E,VS1,,"1,550",465
192,OV,0.30,E,VS2,,"1,494",448
193,OV,0.30,E,VS2,,"1,584",475
194,OV,0.30,E,VS2,,"1,598",479
195,OV,0.30,E,VS1,,"1,575",472
196,OV,0.30,F,VS1,,"1,563",469
197,OV,0.30,D,SI1,,"1,300",390
198,OV,0.30,G,VS2,,"1,352",406
199,OV,0.30,E,VS1,,"1,540",462
200,OV,0.30,F,VS1,,"1,463",439
201,OV,0.30,F,VS1,,"1,520",456
202,OV,0.30,H,VVS1,,"1,332",400
203,OV,0.30,G,VS1,,"1,386",416
204,OV,0.30,G,VVS2,,"1,463",439
205,OV,0.30,F,VVS1,,"1,617",485
206,OV,0.30,E,VS1,,"1,565",470
207,OV,0.30,E,VS2,,"1,557",467
208,OV,0.30,E,VS2,,"1,575",472
209,OV,0.30,E,VS2,,"1,606",482
210,OV,0.30,G,VS1,,"1,350",405
211,OV,0.30,E,VS2,,"1,566",470
212,OV,0.30,D,VS2,,"1,487",446
213,OV,0.30,D,VS2,,"1,563",469
214,OV,0.30,D,VS2,,"1,596",479
215,OV,0.30,D,VS2,,"1,463",439
216,OV,0.30,E,SI1,,"1,304",391
217,OV,0.30,E,VS1,,"1,610",483
218,OV,0.30,E,VS1,,"1,635",490
219,OV,0.30,E,SI1,,"1,256",377
220,OV,0.30,E,VS1,,"1,675",502
221,OV,0.30,E,VS2,,"1,454",436
222,OV,0.30,E,VS2,,"1,616",485
223,OV,0.30,E,VS2,,"1,575",472
224,OV,0.30,F,VS2,,"1,526",458
225,OV,0.30,F,VS2,,"1,526",458
