,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,RA,0.23,E,VS2,EX,"1,252",288
1,RA,0.24,E,VVS1,,"1,530",367
2,RA,0.24,E,VS2,EX,744,179
3,RA,0.24,E,VS1,EX,"1,252",300
4,RA,0.25,E,VS2,,"1,250",312
5,RA,0.25,F,VS1,,"1,540",385
6,RA,0.25,E,VVS1,,"1,530",382
7,RA,0.25,F,VS1,,"1,260",315
8,RA,0.25,F,VS2,EX,"1,061",265
9,RA,0.27,F,VS2,,"1,092",295
10,RA,0.27,E,SI1,EX,909,245
11,RA,0.27,F,VS1,EX,"1,157",312
12,RA,0.27,D,VS2,EX,"1,225",331
13,RA,0.27,E,VS1,,"1,330",359
14,RA,0.28,F,VVS1,,"1,530",428
15,RA,0.28,E,IF,,"1,072",300
16,RA,0.28,E,VS2,,"1,048",294
17,RA,0.29,E,VVS1,,"1,530",444
18,RA,0.30,E,VVS2,,"1,449",435
19,RA,0.30,D,VS1,,"1,427",428
20,RA,0.30,E,VS2,,"1,313",394
21,RA,0.30,D,VS1,,"1,398",419
22,RA,0.30,E,VVS2,,"1,250",375
23,RA,0.30,D,VS1,,"1,356",407
24,RA,0.30,E,VS1,,"1,356",407
25,RA,0.30,J,VVS2,,832,250
26,RA,0.30,F,VVS2,G,"1,335",400
27,RA,0.30,D,VS1,,"1,375",412
28,RA,0.30,F,VS1,,"1,448",434
29,RA,0.30,F,VVS1,VG,"1,496",449
30,RA,0.30,E,VVS1,EX,"1,610",483
31,RA,0.30,E,VVS2,G,"1,440",432
32,RA,0.30,E,VVS2,,"1,260",378
33,RA,0.30,D,VVS1,,"1,500",450
34,RA,0.30,I,VVS1,,864,259
35,RA,0.30,H,VVS1,,918,275
36,RA,0.30,G,VS1,EX,"1,120",336
37,RA,0.30,E,VS2,EX,"1,120",336
38,RA,0.30,G,SI2,EX,851,255
39,RA,0.30,F,VVS2,EX,"1,094",328
40,RA,0.30,F,VVS2,EX,"1,094",328
41,RA,0.30,G,VVS2,EX,"1,039",312
42,RA,0.30,F,VVS2,EX,"1,303",391
43,RA,0.30,D,VS1,EX,"1,388",416
44,RA,0.30,E,VS1,EX,"1,341",402
45,RA,0.30,H,VS1,EX,995,299
46,RA,0.30,G,VVS2,EX,"1,237",371
47,RA,0.30,G,VVS2,EX,"1,182",355
48,RA,0.30,E,VVS2,EX,"1,169",351
49,RA,0.30,H,VS2,,"1,060",318
50,RA,0.30,G,VS1,,"1,312",394
51,RA,0.30,D,VVS1,,"1,734",520
52,RA,0.30,D,VVS2,G,"1,596",479
53,RA,0.30,E,IF,,"1,596",479
54,RA,0.30,D,VS1,,"1,427",428
55,RA,0.30,E,VVS2,,"1,281",384
56,RA,0.30,G,VS1,,"1,271",381
57,RA,0.30,H,VS1,VG,"1,144",343
58,RA,0.30,I,VS2,VG,876,263
59,RA,0.30,E,VVS2,,"1,440",432
60,RA,0.30,I,VS1,,854,256
61,RA,0.30,E,VS2,,"1,122",337
62,RA,0.30,H,VS1,,"1,122",337
63,RA,0.30,F,VS2,,"1,271",381
64,RA,0.30,G,VS1,G,"1,313",394
65,RA,0.30,E,VS2,,"1,122",337
66,RA,0.30,E,VVS2,G,"1,440",432
67,RA,0.30,G,VS2,G,"1,017",305
68,RA,0.30,G,VVS2,,"1,355",407
69,RA,0.30,F,VS2,,"1,271",381
70,RA,0.30,F,VS2,,"1,050",315
71,RA,0.30,G,VS2,VG,"1,101",330
72,RA,0.30,G,VS1,,"1,157",347
73,RA,0.30,E,VS1,G,"1,356",407
74,RA,0.30,D,VS2,,"1,334",400
75,RA,0.30,F,VS1,G,"1,292",387
76,RA,0.30,F,VS1,,"1,292",387
77,RA,0.30,F,VS1,,"1,292",387
78,RA,0.30,I,VVS2,,920,276
79,RA,0.30,D,VS1,G,"1,398",419
80,RA,0.30,G,VVS1,,"1,420",426
81,RA,0.30,H,VS1,,"1,144",343
82,RA,0.30,F,VVS2,,"1,335",400
83,RA,0.30,H,VVS2,,"1,135",340
84,RA,0.30,G,VVS1,,"1,268",380
85,RA,0.30,D,VVS1,,"1,525",458
86,RA,0.30,F,VVS1,G,"1,440",432
87,RA,0.30,E,VVS2,,"1,408",422
88,RA,0.30,G,VVS1,G,"1,356",407
89,RA,0.30,D,VVS1,,"1,418",425
90,RA,0.30,F,VVS1,,"1,400",420
91,RA,0.30,E,VS2,,"1,050",315
92,RA,0.30,D,VS1,G,"1,398",419
93,RA,0.30,F,VS1,VG,"1,292",387
94,RA,0.30,E,VVS2,G,"1,449",435
95,RA,0.30,E,VVS1,,"1,481",444
