,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,HS,0.18,E,VVS2,,"1,527",275
1,HS,0.18,E,VVS1,,"1,028",185
2,HS,0.18,H,SI1,,980,176
3,HS,0.18,D,VS2,,"1,334",240
4,HS,0.19,E,VS1,,"1,276",242
5,HS,0.20,G,VS1,,"1,296",259
6,HS,0.23,E,VS2,,"1,168",269
7,HS,0.23,F,VS2,,"1,208",278
8,HS,0.24,I,SI2,,"1,300",312
9,HS,0.26,H,VS1,,"1,021",265
10,HS,0.26,I,VS1,,"1,336",347
11,HS,0.27,F,VS1,,"1,610",435
12,HS,0.29,D,VS2,,"1,386",402
13,HS,0.29,F,VVS2,,"1,803",523
14,HS,0.29,H,VVS2,,"1,579",458
15,HS,0.30,E,VS2,,"1,476",443
16,HS,0.30,H,VS1,,"1,376",413
17,HS,0.30,F,VS1,,"1,616",485
18,HS,0.30,F,VS1,,"1,701",510
19,HS,0.30,E,VVS2,,"1,741",522
20,HS,0.30,E,VVS1,,"1,725",518
21,HS,0.30,D,SI1,,"1,276",383
22,HS,0.30,G,VVS1,,"1,520",456
23,HS,0.30,G,VVS2,,"1,482",445
24,HS,0.30,E,IF,,"2,625",788
25,HS,0.30,D,VVS1,,"1,670",501
26,HS,0.30,D,VS1,,"1,575",472
27,HS,0.30,E,VVS1,,"1,380",414
28,HS,0.30,F,VVS1,,"1,512",454
29,HS,0.30,D,SI1,,"1,194",358
30,HS,0.30,E,VS2,,"1,159",348
31,HS,0.30,D,SI1,,"1,411",423
32,HS,0.30,G,SI2,,890,267
33,HS,0.30,G,SI2,,903,271
34,HS,0.30,D,SI1,,"1,220",366
35,HS,0.30,D,VVS1,,"1,800",540
36,HS,0.30,D,VVS1,,"1,850",555
37,HS,0.30,D,VVS1,,"1,850",555
38,HS,0.30,E,VS1,,"1,500",450
39,HS,0.30,E,VVS1,,"1,725",518
40,HS,0.30,D,VS2,,"1,368",410
41,HS,0.30,D,VVS1,,"1,825",548
42,HS,0.30,D,VS1,,"1,554",466
43,HS,0.30,G,SI2,,"1,380",414
44,HS,0.30,E,VS2,,"1,800",540
45,HS,0.30,D,VS2,,"1,900",570
46,HS,0.30,E,SI1,,"1,600",480
47,HS,0.30,F,VS1,,"1,900",570
48,HS,0.30,D,SI2,,"1,185",356
49,HS,0.30,G,SI1,,"1,004",301
50,HS,0.30,G,VS2,,"1,758",528
51,HS,0.30,D,VVS1,,"1,625",488
52,HS,0.30,I,SI2,,840,252
53,HS,0.30,D,IF,,"3,190",957
54,HS,0.31,J,VS2,,"1,000",310
55,HS,0.31,E,VS1,,"1,480",459
56,HS,0.31,D,VS2,,"1,425",442
57,HS,0.31,F,SI2,,852,264
58,HS,0.31,D,VS1,,"1,512",469
59,HS,0.31,H,SI2,,"1,210",375
60,HS,0.31,H,SI2,,806,250
61,HS,0.31,E,VVS1,,"1,863",578
62,HS,0.32,E,SI2,,"1,120",358
63,HS,0.32,E,VS2,,"1,476",472
64,HS,0.32,G,VVS1,,"1,500",480
65,HS,0.32,D,VVS2,,"1,656",530
66,HS,0.32,D,VVS1,,"1,800",576
67,HS,0.32,E,VVS2,,"1,575",504
68,HS,0.32,I,SI1,,"1,150",368
69,HS,0.32,D,VVS2,,"1,840",589
70,HS,0.32,D,IF,,"3,190","1,021"
71,HS,0.33,H,VVS2,,"1,224",404
72,HS,0.33,E,VVS2,,"1,365",450
73,HS,0.33,F,VS2,,"1,206",398
74,HS,0.33,G,SI1,,"1,022",337
75,HS,0.33,D,VS2,,"1,691",558
76,HS,0.33,F,VVS1,,"1,512",499
77,HS,0.33,E,VVS1,,"1,656",546
78,HS,0.33,I,VS2,,"1,092",360
79,HS,0.34,D,SI1,,"1,292",439
80,HS,0.34,G,VS2,,"1,184",403
81,HS,0.34,E,VS2,,"1,332",453
82,HS,0.34,E,VS1,,"1,320",449
83,HS,0.35,D,SI1,,"1,360",476
84,HS,0.35,F,VVS2,,"1,500",525
85,HS,0.35,F,VS2,,"1,309",458
86,HS,0.35,E,SI2,,"1,134",397
87,HS,0.35,D,VS1,,"1,575",551
88,HS,0.35,F,SI1,,"1,058",370
89,HS,0.36,E,VVS1,,"1,771",638
90,HS,0.36,D,VVS1,,"1,875",675
91,HS,0.36,D,VS1,,"1,638",590
92,HS,0.36,D,SI1,,"1,343",483
93,HS,0.36,F,SI1,,630,227
94,HS,0.36,E,IF,,"2,425",873
95,HS,0.37,D,SI1,,"1,343",497
96,HS,0.37,F,VVS2,,"1,680",622
97,HS,0.37,G,VVS2,,"1,558",576
98,HS,0.37,F,VS1,,"1,406",520
99,HS,0.37,D,VS2,,"1,368",506
100,HS,0.37,F,SI1,,"1,050",388
101,HS,0.37,E,VVS1,,"1,702",630
102,HS,0.37,F,VVS1,,"1,764",653
103,HS,0.37,F,SI1,,"1,133",419
104,HS,0.37,G,SI2,,870,322
105,HS,0.37,G,VVS1,,"1,480",548
106,HS,0.37,I,VVS2,,"1,215",450
