,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,TR,0.20,H,VS1,,"1,071",214
1,TR,0.20,H,VS1,,"1,020",204
2,TR,0.24,E,VVS2,,"1,699",408
3,TR,0.28,D,SI1,,990,277
4,TR,0.28,D,VVS1,,"1,208",338
5,TR,0.28,D,SI1,,880,246
6,TR,0.29,E,SI1,,"1,740",505
7,TR,0.29,H,SI1,,"1,230",357
8,TR,0.29,H,SI1,,"1,200",348
9,TR,0.29,D,VS2,,"1,050",304
10,TR,0.29,J,SI1,,900,261
11,TR,0.30,D,VS1,,"1,365",409
12,TR,0.30,H,SI1,,"1,040",312
13,TR,0.31,D,VS1,,"1,683",522
14,TR,0.31,I,SI1,,900,279
15,TR,0.31,F,VVS1,,"1,470",456
16,TR,0.31,H,VVS1,,"1,260",391
17,TR,0.31,J,VS2,,750,232
18,TR,0.32,D,SI1,,"1,785",571
19,TR,0.32,D,IF,,"2,159",691
20,TR,0.32,D,IF,,"2,159",691
21,TR,0.32,D,SI1,,"1,700",544
22,TR,0.32,F,VS2,,"1,190",381
23,TR,0.33,H,SI1,,"1,300",429
24,TR,0.33,J,SI1,,750,248
25,TR,0.33,H,VVS2,,"1,190",393
26,TR,0.34,D,IF,,"2,159",734
27,TR,0.34,E,SI1,,"1,120",381
28,TR,0.35,G,VVS1,,"1,400",490
29,TR,0.36,H,SI2,,880,317
30,TR,0.36,E,VS2,,"1,260",454
31,TR,0.37,F,SI1,,"1,607",595
32,TR,0.37,H,VS1,,"1,714",634
33,TR,0.40,H,VS2,,"1,960",784
34,TR,0.41,H,SI2,,975,400
35,TR,0.41,I,SI2,,"1,170",480
36,TR,0.41,D,VS2,,"1,975",810
37,TR,0.42,D,VS2,,"2,509","1,054"
38,TR,0.42,D,VS2,,"2,509","1,054"
39,TR,0.42,D,IF,,"2,467","1,036"
40,TR,0.45,G,VS2,,"1,895",853
41,TR,0.46,E,SI2,,720,331
42,TR,0.46,E,SI2,,880,405
43,TR,0.46,D,VS1,,"2,860","1,316"
44,TR,0.46,E,SI2,,"1,600",736
45,TR,0.47,I,SI1,,"1,400",658
46,TR,0.48,I,SI1,,"2,142","1,028"
47,TR,0.50,I,SI1,,"1,764",882
48,TR,0.50,H,SI2,,"1,568",784
49,TR,0.50,H,VS1,,"1,900",950
50,TR,0.50,J,VS2,,"1,382",691
51,TR,0.50,H,VVS2,,"2,101","1,050"
52,TR,0.50,H,SI2,,"1,728",864
53,TR,0.50,I,SI1,,"1,944",972
54,TR,0.50,G,SI2,,"1,496",748
55,TR,0.50,H,VS2,,"4,875","2,438"
56,TR,0.50,F,VS1,G,"1,440",720
57,TR,0.50,E,IF,,"3,600","1,800"
58,TR,0.50,G,VS2,,"2,080","1,040"
59,TR,0.50,I,SI1,,"1,318",659
60,TR,0.50,I,SI1,,"1,453",726
61,TR,0.50,J,VS2,,"1,278",639
62,TR,0.50,I,SI1,,"1,278",639
63,TR,0.50,I,SI2,,915,458
64,TR,0.50,I,VVS1,,"1,300",650
65,TR,0.50,H,SI2,,"1,088",544
66,TR,0.50,I,VS2,,"1,647",824
67,TR,0.50,J,VS2,,"1,298",649
68,TR,0.50,I,VS2,,"1,693",846
69,TR,0.50,H,VS2,,"1,415",708
70,TR,0.51,G,SI2,,"1,475",752
71,TR,0.51,G,SI1,,"2,028","1,034"
72,TR,0.51,G,VVS2,,"5,685","2,899"
73,TR,0.51,E,SI1,,"1,440",734
74,TR,0.51,G,SI2,,"1,887",962
75,TR,0.51,G,SI2,,918,468
76,TR,0.51,I,VS2,,"1,562",797
77,TR,0.51,J,SI1,,"1,098",560
78,TR,0.51,I,SI2,,915,467
79,TR,0.51,I,VS2,,"1,577",804
80,TR,0.51,J,SI1,,"1,274",650
81,TR,0.51,J,SI1,,"1,274",650
82,TR,0.52,H,VS2,,"1,575",819
83,TR,0.52,D,VVS2,,"2,135","1,110"
84,TR,0.52,I,SI1,,"1,900",988
85,TR,0.52,G,SI1,,"1,540",801
86,TR,0.52,J,VVS2,,"1,323",688
87,TR,0.52,J,VS2,,"1,501",781
88,TR,0.52,I,SI1,,"1,415",736
89,TR,0.53,H,IF,,"2,004","1,062"
90,TR,0.53,E,VS1,,"2,159","1,144"
91,TR,0.53,E,VVS1,,"1,320",700
92,TR,0.53,F,SI2,,"1,895","1,004"
93,TR,0.53,F,VS1,,"2,320","1,230"
94,TR,0.53,H,SI1,,"1,681",891
95,TR,0.53,J,VS2,,"1,298",688
96,TR,0.54,J,SI1,,"1,100",594
97,TR,0.54,J,VS2,,"2,400","1,296"
98,TR,0.54,I,VS1,,"2,093","1,130"
99,TR,0.55,H,SI2,,"1,350",742
100,TR,0.55,E,SI2,,"1,475",811
101,TR,0.55,I,SI1,,"1,278",703
102,TR,0.55,J,VS2,,"1,026",564
103,TR,0.56,D,VS1,,"2,496","1,398"
104,TR,0.56,H,VVS1,,"1,960","1,098"
105,TR,0.56,F,VS2,,"1,620",907
106,TR,0.57,J,SI1,,"1,091",622
107,TR,0.57,E,SI1,,"1,775","1,012"
108,TR,0.57,J,SI2,,"1,106",630
109,TR,0.57,E,SI2,,"1,140",650
110,TR,0.57,J,SI1,,"1,274",726
111,TR,0.59,G,VS1,,"2,025","1,195"
112,TR,0.60,D,SI1,,"2,000","1,200"
113,TR,0.60,H,SI1,,"1,540",924
114,TR,0.60,J,VS2,,"1,489",893
115,TR,0.60,I,VS2,,"1,784","1,070"
116,TR,0.60,G,SI2,,680,408
117,TR,0.61,F,SI2,,"1,350",824
118,TR,0.61,I,SI2,,"1,289",786
119,TR,0.62,J,VS2,,"1,300",806
120,TR,0.63,F,VVS1,,"2,364","1,489"
121,TR,0.63,H,SI2,,"1,168",736
122,TR,0.64,I,SI2,,"1,050",672
123,TR,0.64,H,VS2,,"1,680","1,075"
124,TR,0.65,I,SI1,,"1,764","1,147"
125,TR,0.65,I,SI1,,"1,944","1,264"
126,TR,0.65,F,SI2,,"1,116",725
127,TR,0.66,I,VS1,,"1,449",956
128,TR,0.68,J,SI2,,"1,200",816
129,TR,0.69,D,VS1,,"7,300","5,037"
130,TR,0.69,I,SI2,,"1,700","1,173"
131,TR,0.70,D,VS1,,"3,100","2,170"
132,TR,0.70,H,VS1,,"2,355","1,649"
133,TR,0.70,H,VS1,,"2,544","1,781"
134,TR,0.70,E,VS2,,"3,080","2,156"
135,TR,0.70,E,VS2,,"2,855","1,998"
136,TR,0.70,H,VS2,,"2,414","1,690"
137,TR,0.70,D,SI1,,"3,345","2,342"
138,TR,0.70,D,VS1,,"7,500","5,250"
139,TR,0.70,I,SI2,,"1,518","1,063"
140,TR,0.70,G,SI1,VG,"1,530","1,071"
141,TR,0.70,F,SI1,,"2,150","1,505"
142,TR,0.70,G,VS2,,"2,300","1,610"
143,TR,0.70,H,SI2,,"2,200","1,540"
144,TR,0.70,I,SI1,,"1,791","1,254"
145,TR,0.70,I,SI2,,"1,548","1,084"
146,TR,0.70,I,SI2,,"1,328",930
147,TR,0.71,F,SI2,,"2,797","1,986"
148,TR,0.71,J,VS2,,"1,248",886
149,TR,0.71,G,SI2,,"1,500","1,065"
150,TR,0.71,F,SI1,,"2,400","1,704"
151,TR,0.71,I,VVS2,,"1,800","1,278"
152,TR,0.71,I,SI2,,"1,790","1,271"
153,TR,0.71,I,VVS2,,"1,960","1,392"
154,TR,0.71,H,SI2,,"1,668","1,184"
155,TR,0.72,E,SI2,,"3,200","2,304"
156,TR,0.72,F,SI2,,"3,000","2,160"
157,TR,0.72,H,SI2,,"2,600","1,872"
158,TR,0.72,J,VS1,,"1,425","1,026"
159,TR,0.72,G,SI1,,"2,863","2,062"
160,TR,0.72,E,VS2,,"3,010","2,167"
161,TR,0.72,I,SI2,,"2,100","1,512"
162,TR,0.72,D,SI1,,"2,375","1,710"
163,TR,0.73,G,SI1,,"2,900","2,117"
164,TR,0.73,D,VVS2,,"3,282","2,396"
165,TR,0.73,E,SI1,,"2,859","2,087"
166,TR,0.73,H,VS1,,"4,250","3,102"
167,TR,0.73,F,VS1,,"1,845","1,347"
168,TR,0.74,G,SI2,,"2,800","2,072"
169,TR,0.74,F,SI1,,"2,380","1,761"
170,TR,0.74,I,SI1,,"1,755","1,299"
171,TR,0.75,E,SI2,,"2,632","1,974"
172,TR,0.75,D,SI1,,"3,500","2,625"
173,TR,0.75,F,SI1,VG,"1,811","1,358"
174,TR,0.76,E,VS1,,"3,525","2,679"
175,TR,0.76,H,SI2,,"1,800","1,368"
176,TR,0.76,F,SI1,,"3,600","2,736"
177,TR,0.76,J,VS2,,"1,848","1,404"
178,TR,0.76,H,VVS2,,"4,250","3,230"
179,TR,0.76,I,SI1,,"1,753","1,332"
180,TR,0.77,J,VS2,,"1,680","1,294"
181,TR,0.77,F,SI2,,"2,800","2,156"
182,TR,0.78,D,SI1,,"2,500","1,950"
183,TR,0.78,J,SI2,,"2,200","1,716"
184,TR,0.78,J,SI1,,"1,680","1,310"
185,TR,0.78,G,SI1,,"2,500","1,950"
186,TR,0.78,J,SI2,,"1,445","1,127"
187,TR,0.78,D,SI2,,"2,212","1,725"
188,TR,0.80,I,SI1,,"2,300","1,840"
189,TR,0.80,J,VS1,,"1,947","1,558"
190,TR,0.80,D,VS2,,"3,250","2,600"
191,TR,0.80,I,SI1,,"1,790","1,432"
192,TR,0.80,E,SI1,VG,"1,327","1,062"
193,TR,0.81,J,SI2,,"1,541","1,248"
194,TR,0.81,H,VS1,,"3,100","2,511"
195,TR,0.81,H,SI2,,"2,237","1,812"
196,TR,0.81,H,VS2,,"2,451","1,985"
197,TR,0.81,H,SI2,,"3,000","2,430"
198,TR,0.81,H,SI2,VG,"1,049",850
199,TR,0.81,D,SI1,,"2,242","1,816"
200,TR,0.82,D,VS1,,"3,920","3,214"
201,TR,0.82,D,SI1,,"2,850","2,337"
202,TR,0.83,H,VVS1,,"3,440","2,855"
203,TR,0.83,G,SI1,,"3,500","2,905"
204,TR,0.83,I,VS1,,"3,333","2,766"
205,TR,0.83,E,SI1,,"3,240","2,689"
206,TR,0.83,J,SI1,,"2,474","2,053"
207,TR,0.84,F,SI1,,"3,400","2,856"
208,TR,0.84,D,VS1,,"3,920","3,293"
209,TR,0.84,H,SI1,,"2,291","1,924"
210,TR,0.84,E,SI2,,"1,890","1,588"
211,TR,0.85,J,SI2,,"1,940","1,649"
212,TR,0.86,I,VS1,,"2,176","1,871"
213,TR,0.87,I,VS1,,"2,500","2,175"
214,TR,0.87,G,SI2,,"2,160","1,879"
215,TR,0.88,I,VS2,,"1,943","1,710"
216,TR,0.88,F,SI2,,"3,000","2,640"
217,TR,0.90,D,IF,,"7,009","6,309"
218,TR,0.90,H,SI2,,"2,150","1,935"
219,TR,0.90,H,VS2,VG,"2,188","1,969"
220,TR,0.90,I,SI1,VG,"1,360","1,224"
221,TR,0.90,J,VVS2,,"2,566","2,309"
222,TR,0.90,I,SI2,,"2,046","1,841"
223,TR,0.90,G,SI1,,"3,096","2,786"
224,TR,0.90,I,VS2,,"1,994","1,795"
225,TR,0.91,H,SI1,,"2,400","2,184"
226,TR,0.91,F,SI1,,"2,781","2,530"
227,TR,0.91,G,SI1,,"4,682","4,261"
228,TR,0.91,I,SI1,,"2,210","2,011"
229,TR,0.91,E,SI2,,"3,680","3,349"
230,TR,0.91,I,VS2,,"1,900","1,729"
231,TR,0.92,G,SI2,,"2,636","2,425"
232,TR,0.92,F,SI2,,"2,398","2,207"
233,TR,0.92,G,VS2,,"2,354","2,166"
234,TR,0.92,D,VS2,,"3,310","3,045"
235,TR,0.94,H,SI2,,"3,684","3,463"
236,TR,0.94,H,VS2,,"2,115","1,988"
237,TR,0.95,F,SI2,,"4,194","3,984"
238,TR,0.96,I,SI1,,"2,091","2,007"
239,TR,0.97,F,VS2,,"3,500","3,395"
240,TR,0.99,G,SI2,,"3,415","3,381"
241,TR,1.00,E,SI2,,"3,276","3,276"
242,TR,1.00,F,VS2,,"5,520","5,520"
243,TR,1.00,D,IF,,"10,061","10,061"
244,TR,1.00,D,VS2,,"4,275","4,275"
245,TR,1.00,G,SI1,,"2,912","2,912"
246,TR,1.00,I,VS1,,"2,805","2,805"
247,TR,1.00,E,SI1,,"4,391","4,391"
248,TR,1.00,I,SI1,,"2,790","2,790"
249,TR,1.00,E,SI2,,"2,695","2,695"
250,TR,1.00,G,SI2,,"3,456","3,456"
251,TR,1.00,I,SI2,,"2,100","2,100"
252,TR,1.00,H,SI2,,"2,150","2,150"
253,TR,1.00,E,SI2,,"3,038","3,038"
254,TR,1.00,J,SI2,,"1,972","1,972"
255,TR,1.00,G,SI1,,"2,028","2,028"
256,TR,1.00,J,SI1,,"1,925","1,925"
257,TR,1.00,H,VS1,,"3,941","3,941"
258,TR,1.00,I,SI1,,"1,825","1,825"
259,TR,1.00,J,SI1,,"1,787","1,787"
260,TR,1.00,I,SI1,,"2,000","2,000"
261,TR,1.01,H,VS1,,"2,200","2,222"
262,TR,1.01,I,IF,,"5,310","5,363"
263,TR,1.01,G,SI2,,"3,055","3,086"
264,TR,1.01,F,SI1,,"4,250","4,292"
265,TR,1.01,I,SI2,,"2,248","2,270"
266,TR,1.01,F,SI2,,"3,290","3,323"
267,TR,1.01,J,VS2,,"1,920","1,939"
268,TR,1.01,I,SI1,,"2,580","2,606"
269,TR,1.01,F,SI1,VG,"2,167","2,189"
270,TR,1.01,F,SI2,,"3,065","3,096"
271,TR,1.01,F,VS2,,"3,795","3,833"
272,TR,1.01,D,SI1,VG,"2,273","2,296"
273,TR,1.01,J,SI2,,"1,972","1,992"
274,TR,1.01,I,SI1,,"4,268","4,311"
275,TR,1.01,I,SI2,,"4,000","4,040"
276,TR,1.01,I,SI2,,"2,046","2,066"
277,TR,1.01,D,VS2,,"4,600","4,646"
278,TR,1.02,I,VVS2,,"5,400","5,508"
279,TR,1.02,J,SI1,,"2,350","2,397"
280,TR,1.02,I,VS2,,"3,660","3,734"
281,TR,1.02,F,SI1,,"4,000","4,080"
282,TR,1.02,E,SI2,,"3,250","3,315"
283,TR,1.02,H,SI2,,"2,310","2,356"
284,TR,1.02,J,SI1,,"2,160","2,203"
285,TR,1.02,J,SI1,,"2,146","2,189"
286,TR,1.02,J,SI1,,"1,717","1,751"
287,TR,1.02,G,SI1,,"3,700","3,774"
288,TR,1.03,E,SI2,,"3,180","3,275"
289,TR,1.03,H,SI2,,"3,150","3,244"
290,TR,1.03,G,SI1,,"3,120","3,214"
291,TR,1.03,D,SI2,,"4,420","4,553"
292,TR,1.03,G,SI1,,"3,640","3,749"
293,TR,1.04,J,SI1,,"2,527","2,628"
294,TR,1.04,J,SI2,,"2,000","2,080"
295,TR,1.05,I,SI1,,"2,640","2,772"
296,TR,1.06,F,SI2,,"3,500","3,710"
297,TR,1.06,J,VS2,,"2,320","2,459"
298,TR,1.08,J,SI2,,"2,450","2,646"
299,TR,1.08,J,SI1,,"2,059","2,224"
300,TR,1.08,I,SI1,,"3,010","3,251"
301,TR,1.08,E,SI2,,"3,430","3,704"
302,TR,1.08,H,VS2,,"5,415","5,848"
303,TR,1.09,G,VS1,,"4,550","4,960"
304,TR,1.09,I,VS2,,"3,420","3,728"
305,TR,1.09,E,SI2,,"3,120","3,401"
306,TR,1.10,G,SI2,,"2,641","2,905"
307,TR,1.10,H,SI1,,"2,940","3,234"
308,TR,1.10,H,SI1,,"3,332","3,665"
309,TR,1.11,D,SI1,,"3,500","3,885"
310,TR,1.11,J,SI2,,"1,922","2,133"
311,TR,1.11,I,SI1,,"1,978","2,196"
312,TR,1.12,H,SI2,,"2,250","2,520"
313,TR,1.12,I,SI2,,"2,508","2,809"
314,TR,1.12,J,SI2,,"2,010","2,252"
315,TR,1.13,I,SI1,,"2,881","3,256"
316,TR,1.13,I,SI1,,"3,440","3,887"
317,TR,1.14,J,VS2,,"2,959","3,373"
318,TR,1.14,D,SI1,,"4,270","4,868"
319,TR,1.14,J,VS2,EX,"2,180","2,485"
320,TR,1.15,F,VS1,,"5,625","6,469"
321,TR,1.16,G,SI2,,"3,150","3,654"
322,TR,1.16,H,SI2,,"3,182","3,691"
323,TR,1.16,J,SI1,,"2,160","2,506"
