,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,EC,0.18,G,VVS2,EX,928,167
1,EC,0.18,D,VS1,EX,799,144
2,EC,0.18,E,SI2,EX,466,84
3,EC,0.18,F,VVS1,EX,"1,051",189
4,EC,0.18,E,VS2,EX,776,140
5,EC,0.18,F,VVS2,EX,"1,320",238
6,EC,0.18,F,SI1,EX,"1,037",187
7,EC,0.18,E,VS1,EX,861,155
8,EC,0.18,E,SI2,EX,606,109
9,EC,0.18,G,IF,,"1,151",207
10,EC,0.18,E,VVS2,,"1,260",227
11,EC,0.18,D,VVS2,VG,865,156
12,EC,0.18,E,VS1,EX,961,173
13,EC,0.18,F,IF,EX,994,179
14,EC,0.19,D,VVS1,EX,"1,024",195
15,EC,0.19,E,VS2,EX,913,173
16,EC,0.19,E,SI1,EX,750,143
17,EC,0.19,E,VS1,EX,799,152
18,EC,0.19,E,VS2,EX,890,169
19,EC,0.19,G,VVS2,EX,893,170
20,EC,0.19,F,VS2,EX,719,137
21,EC,0.19,G,VVS1,EX,"1,166",221
22,EC,0.19,D,SI1,EX,811,154
23,EC,0.19,G,VVS2,EX,835,159
24,EC,0.19,E,VVS1,VG,"1,132",215
25,EC,0.20,G,VS2,EX,762,152
26,EC,0.20,E,VS1,EX,890,178
27,EC,0.20,E,VVS2,EX,"1,011",202
28,EC,0.20,E,VS1,EX,890,178
29,EC,0.20,G,SI1,EX,629,126
30,EC,0.20,F,IF,EX,"1,011",202
31,EC,0.20,G,SI1,EX,605,121
32,EC,0.20,D,VS1,EX,860,172
33,EC,0.21,F,VS1,EX,856,180
34,EC,0.21,E,VS1,EX,"1,035",217
35,EC,0.21,H,VS2,EX,983,206
36,EC,0.21,I,VS1,EX,738,155
37,EC,0.22,F,VVS2,EX,936,206
38,EC,0.22,D,IF,EX,"1,015",223
39,EC,0.22,D,VS1,EX,870,191
40,EC,0.23,H,VS1,,"1,388",319
41,EC,0.23,D,VS1,,"1,330",306
42,EC,0.23,E,VS1,EX,"1,033",238
43,EC,0.23,G,VS1,EX,982,226
44,EC,0.23,F,VS2,EX,"1,164",268
45,EC,0.23,G,VS2,EX,"1,080",248
46,EC,0.23,D,VVS1,,"1,803",415
47,EC,0.23,D,IF,,"1,803",415
48,EC,0.23,D,VVS1,,"1,739",400
49,EC,0.23,D,SI1,EX,770,177
50,EC,0.23,F,SI2,EX,778,179
51,EC,0.23,D,IF,EX,"1,150",264
52,EC,0.23,D,VS1,VG,985,227
53,EC,0.23,D,VS1,EX,955,220
54,EC,0.23,E,VS1,EX,975,224
55,EC,0.23,F,IF,EX,"1,050",242
56,EC,0.23,F,IF,EX,"1,025",236
57,EC,0.23,F,VVS1,EX,"1,005",231
58,EC,0.23,F,VS1,EX,940,216
59,EC,0.23,F,SI1,VG,896,206
60,EC,0.24,I,VVS2,,"1,133",272
61,EC,0.24,E,SI1,,"1,233",296
62,EC,0.24,H,VS1,EX,"1,044",251
63,EC,0.24,H,VS2,EX,904,217
64,EC,0.24,E,VVS2,EX,"1,140",274
65,EC,0.24,D,VVS2,EX,"1,224",294
66,EC,0.24,E,VS1,EX,"1,065",256
67,EC,0.24,F,SI1,EX,914,219
68,EC,0.24,E,SI1,EX,946,227
69,EC,0.24,G,VS1,EX,982,236
70,EC,0.24,D,VVS1,,"1,739",417
71,EC,0.24,G,IF,EX,"1,050",252
72,EC,0.24,I,VVS1,EX,825,198
73,EC,0.24,I,VVS2,EX,792,190
74,EC,0.24,E,IF,EX,"1,100",264
75,EC,0.24,G,IF,EX,970,233
76,EC,0.24,I,VVS2,EX,946,227
77,EC,0.24,F,VVS1,,"1,079",259
78,EC,0.24,E,VVS1,,"1,175",282
79,EC,0.24,E,VVS1,,"1,175",282
80,EC,0.24,E,VVS1,,"1,175",282
81,EC,0.24,E,VVS1,,"1,175",282
82,EC,0.24,E,VVS1,,"1,175",282
83,EC,0.24,D,VVS2,,"1,111",267
84,EC,0.24,D,VVS2,,"1,127",270
85,EC,0.24,E,VVS2,,"1,143",274
86,EC,0.24,E,VVS2,,"1,127",270
87,EC,0.24,E,VVS2,,"1,127",270
88,EC,0.24,E,VVS2,,"1,143",274
89,EC,0.25,H,VVS1,EX,853,213
90,EC,0.25,F,VS2,EX,"1,136",284
91,EC,0.25,G,SI1,EX,849,212
92,EC,0.25,D,VVS2,EX,"1,224",306
93,EC,0.25,D,VVS1,EX,911,228
94,EC,0.25,H,VVS2,EX,924,231
95,EC,0.25,H,VS2,EX,872,218
96,EC,0.26,G,VVS1,,"1,405",365
97,EC,0.26,E,VS1,,"1,500",390
98,EC,0.26,E,SI1,,"1,233",320
99,EC,0.26,F,VVS1,,805,209
100,EC,0.18,G,VVS2,EX,928,167
101,EC,0.18,D,VS1,EX,799,144
102,EC,0.18,E,SI2,EX,466,84
103,EC,0.18,F,VVS1,EX,"1,051",189
104,EC,0.18,E,VS2,EX,776,140
105,EC,0.18,F,VVS2,EX,"1,320",238
106,EC,0.18,F,SI1,EX,"1,037",187
107,EC,0.18,E,VS1,EX,861,155
108,EC,0.18,E,SI2,EX,606,109
109,EC,0.18,G,IF,,"1,151",207
110,EC,0.18,E,VVS2,,"1,260",227
111,EC,0.18,D,VVS2,VG,865,156
112,EC,0.18,E,VS1,EX,961,173
113,EC,0.18,F,IF,EX,994,179
114,EC,0.19,D,VVS1,EX,"1,024",195
115,EC,0.19,E,VS2,EX,913,173
116,EC,0.19,E,SI1,EX,750,143
117,EC,0.19,E,VS1,EX,799,152
118,EC,0.19,E,VS2,EX,890,169
119,EC,0.19,G,VVS2,EX,893,170
120,EC,0.19,F,VS2,EX,719,137
121,EC,0.19,G,VVS1,EX,"1,166",221
122,EC,0.19,D,SI1,EX,811,154
123,EC,0.19,G,VVS2,EX,835,159
124,EC,0.19,E,VVS1,VG,"1,132",215
125,EC,0.20,G,VS2,EX,762,152
126,EC,0.20,E,VS1,EX,890,178
127,EC,0.20,E,VVS2,EX,"1,011",202
128,EC,0.20,E,VS1,EX,890,178
129,EC,0.20,G,SI1,EX,629,126
130,EC,0.20,F,IF,EX,"1,011",202
131,EC,0.20,G,SI1,EX,605,121
132,EC,0.20,D,VS1,EX,860,172
133,EC,0.21,F,VS1,EX,856,180
134,EC,0.21,E,VS1,EX,"1,035",217
135,EC,0.21,H,VS2,EX,983,206
136,EC,0.21,I,VS1,EX,738,155
137,EC,0.22,F,VVS2,EX,936,206
138,EC,0.22,D,IF,EX,"1,015",223
139,EC,0.22,D,VS1,EX,870,191
140,EC,0.23,H,VS1,,"1,388",319
141,EC,0.23,D,VS1,,"1,330",306
142,EC,0.23,E,VS1,EX,"1,033",238
143,EC,0.23,G,VS1,EX,982,226
144,EC,0.23,F,VS2,EX,"1,164",268
145,EC,0.23,G,VS2,EX,"1,080",248
146,EC,0.23,D,VVS1,,"1,803",415
147,EC,0.23,D,IF,,"1,803",415
148,EC,0.23,D,VVS1,,"1,739",400
149,EC,0.23,D,SI1,EX,770,177
150,EC,0.23,F,SI2,EX,778,179
151,EC,0.23,D,IF,EX,"1,150",264
152,EC,0.23,D,VS1,VG,985,227
153,EC,0.23,D,VS1,EX,955,220
154,EC,0.23,E,VS1,EX,975,224
155,EC,0.23,F,IF,EX,"1,050",242
156,EC,0.23,F,IF,EX,"1,025",236
157,EC,0.23,F,VVS1,EX,"1,005",231
158,EC,0.23,F,VS1,EX,940,216
159,EC,0.23,F,SI1,VG,896,206
160,EC,0.24,I,VVS2,,"1,133",272
161,EC,0.24,E,SI1,,"1,233",296
162,EC,0.24,H,VS1,EX,"1,044",251
163,EC,0.24,H,VS2,EX,904,217
164,EC,0.24,E,VVS2,EX,"1,140",274
165,EC,0.24,D,VVS2,EX,"1,224",294
166,EC,0.24,E,VS1,EX,"1,065",256
167,EC,0.24,F,SI1,EX,914,219
168,EC,0.24,E,SI1,EX,946,227
169,EC,0.24,G,VS1,EX,982,236
170,EC,0.24,D,VVS1,,"1,739",417
171,EC,0.24,G,IF,EX,"1,050",252
172,EC,0.24,I,VVS1,EX,825,198
173,EC,0.24,I,VVS2,EX,792,190
174,EC,0.24,E,IF,EX,"1,100",264
175,EC,0.24,G,IF,EX,970,233
176,EC,0.24,I,VVS2,EX,946,227
177,EC,0.24,F,VVS1,,"1,079",259
178,EC,0.24,E,VVS1,,"1,175",282
179,EC,0.24,E,VVS1,,"1,175",282
180,EC,0.24,E,VVS1,,"1,175",282
181,EC,0.24,E,VVS1,,"1,175",282
182,EC,0.24,E,VVS1,,"1,175",282
183,EC,0.24,D,VVS2,,"1,111",267
184,EC,0.24,D,VVS2,,"1,127",270
185,EC,0.24,E,VVS2,,"1,143",274
186,EC,0.24,E,VVS2,,"1,127",270
187,EC,0.24,E,VVS2,,"1,127",270
188,EC,0.24,E,VVS2,,"1,143",274
189,EC,0.25,H,VVS1,EX,853,213
190,EC,0.25,F,VS2,EX,"1,136",284
191,EC,0.25,G,SI1,EX,849,212
192,EC,0.25,D,VVS2,EX,"1,224",306
193,EC,0.25,D,VVS1,EX,911,228
194,EC,0.25,H,VVS2,EX,924,231
195,EC,0.25,H,VS2,EX,872,218
196,EC,0.26,G,VVS1,,"1,405",365
197,EC,0.26,E,VS1,,"1,500",390
198,EC,0.26,E,SI1,,"1,233",320
199,EC,0.26,F,VVS1,,805,209
200,EC,0.18,G,VVS2,EX,928,167
201,EC,0.18,D,VS1,EX,799,144
202,EC,0.18,E,SI2,EX,466,84
203,EC,0.18,F,VVS1,EX,"1,051",189
204,EC,0.18,E,VS2,EX,776,140
205,EC,0.18,F,VVS2,EX,"1,320",238
206,EC,0.18,F,SI1,EX,"1,037",187
207,EC,0.18,E,VS1,EX,861,155
208,EC,0.18,E,SI2,EX,606,109
209,EC,0.18,G,IF,,"1,151",207
210,EC,0.18,E,VVS2,,"1,260",227
211,EC,0.18,D,VVS2,VG,865,156
212,EC,0.18,E,VS1,EX,961,173
213,EC,0.18,F,IF,EX,994,179
214,EC,0.19,D,VVS1,EX,"1,024",195
215,EC,0.19,E,VS2,EX,913,173
216,EC,0.19,E,SI1,EX,750,143
217,EC,0.19,E,VS1,EX,799,152
218,EC,0.19,E,VS2,EX,890,169
219,EC,0.19,G,VVS2,EX,893,170
220,EC,0.19,F,VS2,EX,719,137
221,EC,0.19,G,VVS1,EX,"1,166",221
222,EC,0.19,D,SI1,EX,811,154
223,EC,0.19,G,VVS2,EX,835,159
224,EC,0.19,E,VVS1,VG,"1,132",215
225,EC,0.20,G,VS2,EX,762,152
226,EC,0.20,E,VS1,EX,890,178
227,EC,0.20,E,VVS2,EX,"1,011",202
228,EC,0.20,E,VS1,EX,890,178
229,EC,0.20,G,SI1,EX,629,126
230,EC,0.20,F,IF,EX,"1,011",202
231,EC,0.20,G,SI1,EX,605,121
232,EC,0.20,D,VS1,EX,860,172
233,EC,0.21,F,VS1,EX,856,180
234,EC,0.21,E,VS1,EX,"1,035",217
235,EC,0.21,H,VS2,EX,983,206
236,EC,0.21,I,VS1,EX,738,155
237,EC,0.22,F,VVS2,EX,936,206
238,EC,0.22,D,IF,EX,"1,015",223
239,EC,0.22,D,VS1,EX,870,191
240,EC,0.23,H,VS1,,"1,388",319
241,EC,0.23,D,VS1,,"1,330",306
242,EC,0.23,E,VS1,EX,"1,033",238
243,EC,0.23,G,VS1,EX,982,226
244,EC,0.23,F,VS2,EX,"1,164",268
245,EC,0.23,G,VS2,EX,"1,080",248
246,EC,0.23,D,VVS1,,"1,803",415
247,EC,0.23,D,IF,,"1,803",415
248,EC,0.23,D,VVS1,,"1,739",400
249,EC,0.23,D,SI1,EX,770,177
250,EC,0.23,F,SI2,EX,778,179
251,EC,0.23,D,IF,EX,"1,150",264
252,EC,0.23,D,VS1,VG,985,227
253,EC,0.23,D,VS1,EX,955,220
254,EC,0.23,E,VS1,EX,975,224
255,EC,0.23,F,IF,EX,"1,050",242
256,EC,0.23,F,IF,EX,"1,025",236
257,EC,0.23,F,VVS1,EX,"1,005",231
258,EC,0.23,F,VS1,EX,940,216
259,EC,0.23,F,SI1,VG,896,206
260,EC,0.24,I,VVS2,,"1,133",272
261,EC,0.24,E,SI1,,"1,233",296
262,EC,0.24,H,VS1,EX,"1,044",251
263,EC,0.24,H,VS2,EX,904,217
264,EC,0.24,E,VVS2,EX,"1,140",274
265,EC,0.24,D,VVS2,EX,"1,224",294
266,EC,0.24,E,VS1,EX,"1,065",256
267,EC,0.24,F,SI1,EX,914,219
268,EC,0.24,E,SI1,EX,946,227
269,EC,0.24,G,VS1,EX,982,236
270,EC,0.24,D,VVS1,,"1,739",417
271,EC,0.24,G,IF,EX,"1,050",252
272,EC,0.24,I,VVS1,EX,825,198
273,EC,0.24,I,VVS2,EX,792,190
274,EC,0.24,E,IF,EX,"1,100",264
275,EC,0.24,G,IF,EX,970,233
276,EC,0.24,I,VVS2,EX,946,227
277,EC,0.24,F,VVS1,,"1,079",259
278,EC,0.24,E,VVS1,,"1,175",282
279,EC,0.24,E,VVS1,,"1,175",282
