,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,HS,0.18,E,VVS1,,"1,096",197
1,HS,0.18,D,VS2,,"1,392",251
2,HS,0.19,E,VS1,,"1,392",264
3,HS,0.19,E,VS1,,"1,334",253
4,HS,0.20,G,VVS1,,"1,331",266
5,HS,0.24,I,SI2,,"1,300",312
6,HS,0.24,I,SI2,,510,122
7,HS,0.26,I,VS1,,"1,386",360
8,HS,0.27,F,VS1,,"1,750",472
9,HS,0.28,G,VS2,,"1,452",407
10,HS,0.29,D,VS2,,"1,386",402
11,HS,0.29,F,VVS2,,"1,803",523
12,HS,0.29,E,VS2,,"1,386",402
13,HS,0.29,F,VS2,,"1,386",402
14,HS,0.29,H,VVS2,,"1,579",458
15,HS,0.29,F,VS2,,"1,568",455
16,HS,0.29,F,VS1,,"1,498",434
17,HS,0.29,F,VS2,,"1,232",357
18,HS,0.29,H,VVS1,,"1,692",491
19,HS,0.30,D,VS1,,"1,512",454
20,HS,0.30,F,VVS2,,"1,520",456
21,HS,0.30,E,VVS2,,"1,575",472
22,HS,0.30,D,VS1,,"1,575",472
23,HS,0.30,E,VS2,,"1,314",394
24,HS,0.30,D,SI1,,"1,292",388
25,HS,0.30,D,VS2,,"1,444",433
26,HS,0.30,G,VS1,,"1,368",410
27,HS,0.30,F,VS1,,"1,616",485
28,HS,0.30,E,VVS2,,"1,741",522
29,HS,0.30,D,VVS1,,"1,850",555
30,HS,0.30,D,VVS1,,"1,850",555
31,HS,0.30,E,VVS1,,"1,725",518
32,HS,0.30,D,VVS2,,"1,771",531
33,HS,0.30,F,VS1,,"1,701",510
34,HS,0.30,H,VVS2,,"1,258",377
35,HS,0.30,D,SI1,,"1,276",383
36,HS,0.30,G,VS1,,"1,386",416
37,HS,0.30,E,VS1,,"1,480",444
38,HS,0.30,D,SI1,,"1,309",393
39,HS,0.30,H,VVS1,,"1,386",416
40,HS,0.30,D,VS1,,"1,554",466
41,HS,0.30,E,VS1,,"1,800",540
42,HS,0.30,E,VS1,,"1,520",456
43,HS,0.30,E,VS1,,"1,500",450
44,HS,0.30,E,VS1,,"1,500",450
