,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,MQ,0.18,D,SI1,,"2,411",434
1,MQ,0.18,D,VS2,,"1,566",282
2,MQ,0.18,F,VS2,,"1,044",188
3,MQ,0.18,E,SI2,,"1,264",228
4,MQ,0.18,F,VS2,,"1,636",294
5,MQ,0.18,E,VVS2,,"1,850",333
6,MQ,0.18,G,VVS2,,"1,634",294
7,MQ,0.18,F,VS2,,"1,694",305
8,MQ,0.18,F,VVS2,,"1,712",308
9,MQ,0.18,F,VS2,,"1,334",240
10,MQ,0.18,F,SI1,,"1,395",251
11,MQ,0.18,F,VVS2,,"1,918",345
12,MQ,0.18,E,SI1,,"1,395",251
13,MQ,0.18,F,SI2,,"1,343",242
14,MQ,0.18,F,SI1,,"1,534",276
15,MQ,0.18,E,SI2,,908,164
16,MQ,0.18,F,VS2,,"1,450",261
17,MQ,0.18,F,SI1,,976,176
18,MQ,0.18,F,SI2,,"1,146",206
19,MQ,0.18,E,SI2,,"1,027",185
20,MQ,0.18,F,SI2,,"1,106",199
21,MQ,0.18,H,SI1,,"1,148",207
22,MQ,0.19,D,VVS1,,"2,071",393
23,MQ,0.19,F,VS2,,"1,450",276
24,MQ,0.19,F,SI2,,"1,304",248
25,MQ,0.19,H,VVS2,,"1,150",218
26,MQ,0.19,G,VS1,,"1,326",252
27,MQ,0.19,F,VS2,,"1,044",198
28,MQ,0.19,H,SI1,,"1,066",203
29,MQ,0.19,E,VS2,,"1,694",322
30,MQ,0.19,E,VS2,,"1,763",335
31,MQ,0.19,E,VS2,,"1,566",298
32,MQ,0.19,G,VS2,,"1,489",283
33,MQ,0.19,F,VS1,,"1,392",264
34,MQ,0.19,G,VS2,,"1,489",283
35,MQ,0.19,D,SI1,,"1,348",256
36,MQ,0.19,G,VS2,,"1,377",262
37,MQ,0.19,D,SI2,,"1,304",248
38,MQ,0.19,D,SI2,,"1,304",248
39,MQ,0.19,F,VS2,,"1,694",322
40,MQ,0.19,D,SI1,,"1,302",247
41,MQ,0.19,E,SI2,,"1,106",210
42,MQ,0.20,D,VVS1,,"2,071",414
43,MQ,0.20,F,VVS1,,"2,340",468
44,MQ,0.20,F,VS2,,"1,500",300
45,MQ,0.20,E,VS1,,"1,250",250
46,MQ,0.20,F,VVS2,,"1,576",315
47,MQ,0.20,G,VVS2,,"1,634",327
48,MQ,0.21,G,VVS1,EX,"1,055",222
49,MQ,0.21,F,VVS1,,"1,850",388
50,MQ,0.22,D,VVS1,,"1,055",232
51,MQ,0.22,I,VS2,,"1,275",280
52,MQ,0.23,E,VVS1,,"2,046",471
53,MQ,0.23,H,SI2,,750,172
54,MQ,0.23,D,VS2,,"1,465",337
55,MQ,0.23,F,VS2,,790,182
56,MQ,0.23,G,SI1,,930,214
57,MQ,0.23,E,SI1,,"1,749",402
58,MQ,0.23,H,VVS2,,"2,044",470
59,MQ,0.23,D,SI1,,954,219
60,MQ,0.23,J,SI2,,952,219
61,MQ,0.23,E,SI1,,901,207
62,MQ,0.23,G,SI2,,"1,040",239
63,MQ,0.23,D,SI2,,"1,502",345
64,MQ,0.23,F,SI2,,"1,046",241
65,MQ,0.24,D,VS2,,"1,657",398
66,MQ,0.24,E,SI2,EX,456,109
67,MQ,0.24,G,SI1,,390,94
68,MQ,0.24,G,VS2,,908,218
69,MQ,0.24,F,SI2,,819,197
70,MQ,0.24,D,SI1,,954,229
71,MQ,0.25,F,VS2,,790,198
72,MQ,0.25,E,VVS2,,890,222
73,MQ,0.25,F,VS2,,"1,440",360
74,MQ,0.25,G,IF,EX,"1,450",362
75,MQ,0.25,H,SI1,,884,221
76,MQ,0.25,E,SI1,,901,225
77,MQ,0.26,E,SI1,,"1,166",303
78,MQ,0.26,G,VS1,,"1,331",346
79,MQ,0.27,D,SI1,,772,208
80,MQ,0.27,E,SI1,,"1,203",325
81,MQ,0.27,D,SI1,VG,"1,161",313
82,MQ,0.27,G,SI1,,490,132
83,MQ,0.27,F,VS2,,790,213
84,MQ,0.27,H,SI1,,750,202
85,MQ,0.27,G,SI1,,790,213
86,MQ,0.27,F,VS2,,"1,440",389
87,MQ,0.27,D,VS2,,"1,820",491
88,MQ,0.28,G,VS2,,890,249
89,MQ,0.28,G,SI2,,690,193
90,MQ,0.28,G,SI1,,690,193
91,MQ,0.28,G,SI2,,690,193
92,MQ,0.28,F,VS2,,790,221
93,MQ,0.28,D,SI1,,"1,166",326
94,MQ,0.28,F,SI2,,"1,046",293
95,MQ,0.29,G,VS2,,790,229
96,MQ,0.29,G,VS2,,890,258
97,MQ,0.29,G,SI1,,690,200
98,MQ,0.29,F,SI1,,"1,060",307
99,MQ,0.30,H,SI2,,715,214
100,MQ,0.18,D,SI1,,"2,411",434
101,MQ,0.18,D,VS2,,"1,566",282
102,MQ,0.18,F,VS2,,"1,044",188
103,MQ,0.18,E,SI2,,"1,264",228
104,MQ,0.18,F,VS2,,"1,636",294
105,MQ,0.18,E,VVS2,,"1,850",333
106,MQ,0.18,G,VVS2,,"1,634",294
107,MQ,0.18,F,VS2,,"1,694",305
108,MQ,0.18,F,VVS2,,"1,712",308
109,MQ,0.18,F,VS2,,"1,334",240
110,MQ,0.18,F,SI1,,"1,395",251
111,MQ,0.18,F,VVS2,,"1,918",345
112,MQ,0.18,E,SI1,,"1,395",251
113,MQ,0.18,F,SI2,,"1,343",242
114,MQ,0.18,F,SI1,,"1,534",276
115,MQ,0.18,E,SI2,,908,164
116,MQ,0.18,F,VS2,,"1,450",261
117,MQ,0.18,F,SI1,,976,176
118,MQ,0.18,F,SI2,,"1,146",206
119,MQ,0.18,E,SI2,,"1,027",185
120,MQ,0.18,F,SI2,,"1,106",199
121,MQ,0.18,H,SI1,,"1,148",207
122,MQ,0.19,D,VVS1,,"2,071",393
123,MQ,0.19,F,VS2,,"1,450",276
124,MQ,0.19,F,SI2,,"1,304",248
125,MQ,0.19,H,VVS2,,"1,150",218
126,MQ,0.19,G,VS1,,"1,326",252
127,MQ,0.19,F,VS2,,"1,044",198
128,MQ,0.19,H,SI1,,"1,066",203
129,MQ,0.19,E,VS2,,"1,694",322
130,MQ,0.19,E,VS2,,"1,763",335
131,MQ,0.19,E,VS2,,"1,566",298
132,MQ,0.19,G,VS2,,"1,489",283
133,MQ,0.19,F,VS1,,"1,392",264
134,MQ,0.19,G,VS2,,"1,489",283
135,MQ,0.19,D,SI1,,"1,348",256
136,MQ,0.19,G,VS2,,"1,377",262
137,MQ,0.19,D,SI2,,"1,304",248
138,MQ,0.19,D,SI2,,"1,304",248
139,MQ,0.19,F,VS2,,"1,694",322
140,MQ,0.19,D,SI1,,"1,302",247
141,MQ,0.19,E,SI2,,"1,106",210
142,MQ,0.20,D,VVS1,,"2,071",414
143,MQ,0.20,F,VVS1,,"2,340",468
144,MQ,0.20,F,VS2,,"1,500",300
145,MQ,0.20,E,VS1,,"1,250",250
146,MQ,0.20,F,VVS2,,"1,576",315
147,MQ,0.20,G,VVS2,,"1,634",327
148,MQ,0.21,G,VVS1,EX,"1,055",222
149,MQ,0.21,F,VVS1,,"1,850",388
150,MQ,0.22,D,VVS1,,"1,055",232
151,MQ,0.22,I,VS2,,"1,275",280
152,MQ,0.23,E,VVS1,,"2,046",471
153,MQ,0.23,H,SI2,,750,172
154,MQ,0.23,D,VS2,,"1,465",337
155,MQ,0.23,F,VS2,,790,182
156,MQ,0.23,G,SI1,,930,214
157,MQ,0.23,E,SI1,,"1,749",402
158,MQ,0.23,H,VVS2,,"2,044",470
159,MQ,0.23,D,SI1,,954,219
160,MQ,0.23,J,SI2,,952,219
161,MQ,0.23,E,SI1,,901,207
162,MQ,0.23,G,SI2,,"1,040",239
163,MQ,0.23,D,SI2,,"1,502",345
164,MQ,0.23,F,SI2,,"1,046",241
165,MQ,0.24,D,VS2,,"1,657",398
166,MQ,0.24,E,SI2,EX,456,109
167,MQ,0.24,G,SI1,,390,94
168,MQ,0.24,G,VS2,,908,218
169,MQ,0.24,F,SI2,,819,197
170,MQ,0.24,D,SI1,,954,229
171,MQ,0.25,F,VS2,,790,198
172,MQ,0.25,E,VVS2,,890,222
173,MQ,0.25,F,VS2,,"1,440",360
174,MQ,0.25,G,IF,EX,"1,450",362
175,MQ,0.25,H,SI1,,884,221
176,MQ,0.25,E,SI1,,901,225
177,MQ,0.26,E,SI1,,"1,166",303
178,MQ,0.26,G,VS1,,"1,331",346
179,MQ,0.27,D,SI1,,772,208
180,MQ,0.27,E,SI1,,"1,203",325
181,MQ,0.27,D,SI1,VG,"1,161",313
182,MQ,0.27,G,SI1,,490,132
183,MQ,0.27,F,VS2,,790,213
184,MQ,0.27,H,SI1,,750,202
185,MQ,0.27,G,SI1,,790,213
186,MQ,0.27,F,VS2,,"1,440",389
187,MQ,0.27,D,VS2,,"1,820",491
188,MQ,0.28,G,VS2,,890,249
189,MQ,0.28,G,SI2,,690,193
190,MQ,0.28,G,SI1,,690,193
191,MQ,0.28,G,SI2,,690,193
192,MQ,0.28,F,VS2,,790,221
193,MQ,0.28,D,SI1,,"1,166",326
194,MQ,0.28,F,SI2,,"1,046",293
195,MQ,0.29,G,VS2,,790,229
