,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,OV,0.18,G,SI2,EX,556,100
1,OV,0.18,D,SI2,EX,660,119
2,OV,0.18,F,SI1,EX,750,135
3,OV,0.18,E,VS2,EX,936,168
4,OV,0.18,D,VVS2,EX,"1,528",275
5,OV,0.18,E,VS2,,812,146
6,OV,0.18,F,VS2,,928,167
7,OV,0.19,E,SI1,,"1,100",209
8,OV,0.19,D,VS2,EX,936,178
9,OV,0.19,E,VS1,EX,936,178
10,OV,0.19,F,VVS2,EX,"1,011",192
11,OV,0.19,F,SI2,EX,637,121
12,OV,0.19,F,VS2,EX,947,180
13,OV,0.19,D,VS2,EX,776,147
14,OV,0.19,D,SI1,EX,849,161
15,OV,0.19,D,VS1,EX,"1,235",235
16,OV,0.19,H,VS2,EX,"1,138",216
17,OV,0.19,E,SI1,EX,816,155
18,OV,0.20,E,SI1,,"1,098",220
19,OV,0.20,E,SI1,,"1,098",220
20,OV,0.20,F,VS2,,"1,170",234
21,OV,0.20,F,VVS1,EX,"1,140",228
22,OV,0.20,E,SI1,EX,622,124
23,OV,0.20,E,VS1,EX,890,178
24,OV,0.21,D,VVS2,,"1,395",293
25,OV,0.23,D,VVS2,,"1,675",385
26,OV,0.23,D,VS1,,949,218
27,OV,0.23,F,VVS1,EX,"1,002",230
28,OV,0.23,E,VS2,EX,"1,033",238
29,OV,0.23,F,VS2,EX,"1,278",294
30,OV,0.23,F,VS2,,"1,400",322
31,OV,0.23,F,VS2,,"1,400",322
32,OV,0.23,E,SI2,,864,199
33,OV,0.23,E,VS2,,"1,876",431
34,OV,0.23,F,VS2,,"1,946",448
35,OV,0.24,F,VS1,,"1,309",314
36,OV,0.24,G,VVS1,EX,"1,012",243
37,OV,0.24,F,VS2,,"1,400",336
38,OV,0.24,F,VS2,,"1,400",336
39,OV,0.24,H,IF,EX,"1,080",259
40,OV,0.24,E,VVS1,,"1,433",344
41,OV,0.24,D,VVS1,,"1,497",359
42,OV,0.24,D,VVS1,,"1,497",359
43,OV,0.24,D,VVS2,,"1,433",344
44,OV,0.24,E,VVS2,,"1,352",325
45,OV,0.24,G,VVS2,,"1,156",277
46,OV,0.24,E,VS2,,"1,876",450
47,OV,0.24,E,VS2,,"1,540",370
48,OV,0.24,G,VVS1,,"1,622",389
49,OV,0.25,D,IF,,"1,528",382
50,OV,0.25,D,VVS2,EX,"1,388",347
51,OV,0.25,H,IF,EX,"1,130",282
52,OV,0.25,D,IF,,"1,803",451
53,OV,0.25,F,VVS1,,"1,368",342
54,OV,0.25,E,VVS1,,"1,449",362
55,OV,0.25,E,VVS1,,"1,401",350
56,OV,0.25,E,VVS1,,"1,465",366
57,OV,0.25,D,VVS1,,"1,513",378
58,OV,0.25,D,VVS1,,"1,497",374
59,OV,0.25,D,VVS1,,"1,497",374
60,OV,0.25,D,VVS1,,"1,497",374
61,OV,0.25,D,VVS1,,"1,465",366
62,OV,0.25,D,VVS2,,"2,254",564
63,OV,0.25,H,VS1,,"1,634",408
64,OV,0.25,D,VS2,,"1,260",315
65,OV,0.25,J,VVS2,,"1,770",442
66,OV,0.26,F,VS2,,"1,198",311
67,OV,0.26,F,VS1,,"1,419",369
68,OV,0.26,E,IF,,"1,642",427
69,OV,0.26,E,IF,,"1,642",427
70,OV,0.26,E,VVS1,,"1,465",381
71,OV,0.26,D,VVS1,,"1,401",364
72,OV,0.26,E,VVS2,,"1,442",375
73,OV,0.26,F,SI1,,"1,643",427
74,OV,0.26,H,VS2,,"1,089",283
75,OV,0.27,E,VVS2,,"1,500",405
76,OV,0.27,E,VVS2,,"1,170",316
77,OV,0.27,F,VS1,EX,"1,129",305
78,OV,0.27,E,VS1,EX,"1,033",279
79,OV,0.27,E,VVS1,VG,"1,300",351
80,OV,0.27,D,SI2,,"1,410",381
81,OV,0.27,I,VVS2,,"1,062",287
82,OV,0.28,D,VS1,,"1,582",443
83,OV,0.28,I,SI1,,"1,092",306
84,OV,0.28,E,SI1,,"1,431",401
85,OV,0.29,H,VS1,,726,211
86,OV,0.29,E,SI1,,784,227
87,OV,0.29,G,SI2,,945,274
88,OV,0.29,E,VVS1,,"1,286",373
89,OV,0.29,F,VVS2,,"1,594",462
90,OV,0.29,F,VS1,,"1,386",402
91,OV,0.29,I,VVS2,,963,279
92,OV,0.29,H,VS2,,"1,120",325
93,OV,0.29,G,VS1,,952,276
94,OV,0.29,D,VS2,,"1,680",487
95,OV,0.29,E,SI2,,"1,365",396
96,OV,0.29,D,SI1,,"1,643",476
97,OV,0.30,D,VS1,,"1,596",479
98,OV,0.30,F,SI2,,"1,050",315
99,OV,0.30,D,VS1,,"1,723",517
100,OV,0.30,E,VS2,,"1,350",405
101,OV,0.30,D,VS1,,"1,554",466
102,OV,0.30,D,SI1,,"1,445",434
103,OV,0.30,D,SI1,,"1,411",423
104,OV,0.30,D,VS1,,"1,827",548
105,OV,0.30,D,SI1,,"1,412",424
106,OV,0.30,D,SI1,,"1,275",382
107,OV,0.30,D,VS2,,"1,526",458
108,OV,0.30,D,VS2,,"1,526",458
109,OV,0.30,G,VS2,,"1,285",386
110,OV,0.30,I,SI1,,"1,023",307
111,OV,0.30,E,SI2,,"1,120",336
112,OV,0.30,E,VS2,,"1,578",473
113,OV,0.30,E,VS2,,"1,578",473
114,OV,0.30,E,SI1,,"1,329",399
115,OV,0.30,D,VS2,,"1,661",498
116,OV,0.30,F,VVS2,,"1,820",546
117,OV,0.30,I,SI1,,"1,100",330
118,OV,0.30,D,SI1,,"1,300",390
119,OV,0.30,I,VS2,,950,285
120,OV,0.30,E,SI1,,"1,168",350
121,OV,0.30,E,SI2,,"1,022",307
122,OV,0.30,F,VVS2,,"1,620",486
123,OV,0.30,D,VVS2,,"1,840",552
124,OV,0.30,D,IF,,"2,320",696
125,OV,0.30,D,SI2,,"1,231",369
126,OV,0.30,H,SI1,,975,292
127,OV,0.30,E,SI2,,"1,022",307
128,OV,0.30,G,SI1,,"1,078",323
129,OV,0.30,D,SI1,,"1,122",337
130,OV,0.30,D,VS1,,"1,554",466
131,OV,0.30,F,SI2,,949,285
132,OV,0.30,F,VVS2,,"1,500",450
133,OV,0.30,E,SI2,,"1,022",307
134,OV,0.30,G,VS1,,"1,350",405
135,OV,0.30,D,VS2,,"1,425",428
136,OV,0.30,E,SI2,,"1,022",307
137,OV,0.30,E,SI1,,"1,168",350
138,OV,0.30,F,VS1,,"1,425",428
139,OV,0.30,D,VS2,EX,"1,174",352
140,OV,0.30,E,SI2,,987,296
141,OV,0.30,D,VS1,,"1,828",548
142,OV,0.30,E,SI2,,"1,260",378
143,OV,0.30,F,VVS2,,"1,360",408
144,OV,0.30,F,VVS1,,"1,113",334
145,OV,0.30,G,VS2,,"1,318",396
146,OV,0.30,D,VS1,,"1,386",416
147,OV,0.30,D,VVS1,,"1,391",417
148,OV,0.30,D,VS1,,"1,295",388
149,OV,0.30,E,VS1,,"1,378",413
150,OV,0.30,E,VS1,,"1,378",413
151,OV,0.30,F,SI1,,"1,154",346
152,OV,0.30,G,VS1,,"1,258",377
153,OV,0.30,E,VVS1,,"1,464",439
154,OV,0.30,D,VVS1,,"1,498",449
155,OV,0.30,G,SI1,,"1,043",313
156,OV,0.30,D,VS1,,"1,346",404
157,OV,0.30,D,VVS1,,"1,450",435
158,OV,0.30,D,VVS1,,"1,488",446
