,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,PS,0.18,G,VS1,EX,853,154
1,PS,0.18,F,VS1,EX,822,148
2,PS,0.18,E,VS2,EX,890,160
3,PS,0.18,G,VVS1,EX,928,167
4,PS,0.18,E,VVS2,EX,"1,250",225
5,PS,0.18,D,VVS2,EX,"1,250",225
6,PS,0.18,E,VS2,EX,"1,059",191
7,PS,0.18,F,VVS2,EX,"1,250",225
8,PS,0.18,E,VS1,EX,"1,294",233
9,PS,0.18,F,VVS2,EX,"1,361",245
10,PS,0.18,D,VVS1,EX,"1,278",230
11,PS,0.18,F,VS2,EX,"1,082",195
12,PS,0.18,D,VS2,EX,"1,153",207
13,PS,0.18,E,VS2,EX,"1,153",207
14,PS,0.18,E,VS1,EX,941,169
15,PS,0.18,F,VS1,EX,"1,153",207
16,PS,0.18,F,VVS2,,"1,450",261
17,PS,0.18,F,VS2,,"1,350",243
18,PS,0.18,F,VS2,,"1,350",243
19,PS,0.18,F,VS2,,"1,350",243
20,PS,0.18,F,VS2,,"1,350",243
21,PS,0.18,F,VS2,,"1,350",243
22,PS,0.18,E,VVS2,,"1,500",270
23,PS,0.18,E,VVS2,,"1,500",270
24,PS,0.18,F,VS1,,"1,300",234
25,PS,0.18,F,VS1,,"1,300",234
26,PS,0.18,E,VS2,,"1,400",252
27,PS,0.18,D,VS1,,"1,218",219
28,PS,0.18,E,SI1,,"1,442",259
29,PS,0.18,F,SI1,,"1,442",259
30,PS,0.18,E,VS2,,"1,566",282
31,PS,0.18,D,VS2,,"1,810",326
32,PS,0.18,E,VVS2,,"1,370",247
33,PS,0.18,E,VS2,,"1,334",240
34,PS,0.18,E,SI1,,"1,488",268
35,PS,0.18,F,VS1,,"1,450",261
36,PS,0.18,D,VS1,,"1,763",317
37,PS,0.18,D,VS2,,"1,810",326
38,PS,0.18,F,VS1,,"1,752",315
39,PS,0.18,D,VVS2,,"2,124",382
40,PS,0.18,E,VVS2,,"2,055",370
41,PS,0.18,E,VVS2,,"1,411",254
42,PS,0.18,D,SI1,,"1,442",259
43,PS,0.18,G,VS2,,"1,591",286
44,PS,0.18,G,SI1,,"1,312",236
45,PS,0.18,E,SI1,,"1,442",259
46,PS,0.18,G,VS2,,"1,652",297
47,PS,0.18,F,SI1,,"1,534",276
48,PS,0.18,H,VS2,,"1,754",316
49,PS,0.18,H,VS2,,"1,377",248
50,PS,0.18,I,SI1,,"1,260",227
51,PS,0.18,I,SI2,,"1,110",200
52,PS,0.18,H,SI1,,"1,435",258
53,PS,0.18,I,VS2,,"1,275",230
54,PS,0.18,G,SI1,,984,177
55,PS,0.18,E,SI2,,948,171
56,PS,0.18,E,SI1,,"1,534",276
57,PS,0.18,F,VS2,,"1,879",338
58,PS,0.18,E,SI1,,"1,488",268
59,PS,0.18,E,SI1,,"1,162",209
60,PS,0.18,E,SI1,,"1,070",193
61,PS,0.18,F,SI2,,"1,304",235
62,PS,0.18,D,SI2,,"1,106",199
63,PS,0.18,H,SI1,,984,177
