,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,RA,0.19,G,VS1,,"1,300",247
1,RA,0.21,F,VVS2,VG,273,
2,RA,0.24,E,VVS1,,"1,530",367
3,RA,0.24,E,VS2,EX,179,66.5
4,RA,0.24,E,VS1,VG,348,
5,RA,0.25,E,VS2,,"1,250",312
6,RA,0.25,E,VVS1,,"1,530",382
7,RA,0.25,F,VS1,,"1,540",385
8,RA,0.25,F,VS1,,"1,260",315
9,RA,0.25,F,VS2,VG,362,
10,RA,0.26,G,VS1,,"1,350",351
11,RA,0.27,H,SI2,,"1,400",378
12,RA,0.27,E,VS1,,"1,330",359
13,RA,0.27,G,VS1,,"1,350",364
14,RA,0.28,F,VVS1,,"1,530",428
15,RA,0.28,E,IF,,"1,122",314
16,RA,0.28,F,VS1,,"1,450",406
17,RA,0.28,F,VS1,,"1,450",406
18,RA,0.28,D,VS2,VG,462,
19,RA,0.29,E,VVS1,,"1,530",444
20,RA,0.29,F,VVS2,,"1,125",326
21,RA,0.29,D,VS2,,"1,125",326
22,RA,0.29,H,VS1,,"1,575",457
23,RA,0.30,F,VVS2,,"1,250",375
24,RA,0.30,F,VVS2,,"1,250",375
25,RA,0.30,F,VVS2,,"1,250",375
26,RA,0.30,F,VVS2,,"1,250",375
27,RA,0.30,F,VVS2,,"1,250",375
28,RA,0.30,F,VS1,VG,387,67.9
29,RA,0.30,D,VS1,G,419,65.6
30,RA,0.30,D,VVS2,,"1,418",426
31,RA,0.30,E,VVS1,,"1,395",418
32,RA,0.30,F,VS1,,"1,448",434
33,RA,0.30,E,VS2,,"1,050",315
34,RA,0.30,D,VVS1,,"1,418",425
35,RA,0.30,F,VVS1,VG,432,66.6
36,RA,0.30,E,VVS2,G,435,65.7
37,RA,0.30,E,VVS1,,"1,481",444
38,RA,0.30,E,VVS2,G,432,65.6
39,RA,0.30,E,VVS1,EX,483,68.8
40,RA,0.30,F,VVS1,,"1,400",420
41,RA,0.30,F,VS1,,"1,348",404
42,RA,0.30,D,VS1,,"1,375",412
43,RA,0.30,G,VS2,G,305,70.1
44,RA,0.30,H,VS1,,"1,122",337
45,RA,0.30,D,VS1,,"1,356",407
46,RA,0.30,E,VS2,,"1,201",360
47,RA,0.30,F,VVS1,G,432,71.2
48,RA,0.30,E,VVS2,,"1,408",422
49,RA,0.30,F,VS2,,"1,207",362
50,RA,0.30,H,VVS2,,"1,135",340
51,RA,0.30,G,VVS1,,"1,268",380
52,RA,0.30,G,VVS1,,"1,420",426
53,RA,0.30,F,VVS2,G,400,70.6
54,RA,0.30,H,VS1,,"1,144",343
55,RA,0.30,G,VS1,,"1,312",394
56,RA,0.30,D,VVS1,,"1,734",520
57,RA,0.30,D,VVS2,G,479,71.8
58,RA,0.30,E,VS1,,"1,348",404
59,RA,0.30,F,VS1,G,387,64.7
60,RA,0.30,E,VVS2,,"1,281",384
61,RA,0.30,D,VS2,,"1,334",400
62,RA,0.30,E,VS1,,"1,356",407
63,RA,0.30,F,VS1,,"1,292",387
64,RA,0.30,D,VS1,G,419,69
65,RA,0.30,I,VVS2,,920,276
66,RA,0.30,D,VS1,,"1,427",428
67,RA,0.30,D,VS1,,"1,427",428
68,RA,0.30,E,VS1,G,407,67.3
69,RA,0.30,E,VVS2,,"1,250",375
70,RA,0.30,G,VS1,,"1,271",381
71,RA,0.30,H,VS1,VG,343,63.8
72,RA,0.30,I,VS2,VG,263,67.7
73,RA,0.30,E,VVS2,G,432,70.1
74,RA,0.30,E,VVS2,,"1,440",432
75,RA,0.30,I,VS1,,854,256
76,RA,0.30,E,VS2,,"1,122",337
77,RA,0.30,D,VS2,VG,400,69.3
78,RA,0.30,G,VS1,G,394,70.3
79,RA,0.30,J,VVS2,,832,250
80,RA,0.30,F,VS1,,"1,292",387
81,RA,0.30,F,VVS2,,"1,335",400
82,RA,0.30,E,VS2,,"1,244",373
83,RA,0.30,E,VVS2,,"1,483",445
84,RA,0.30,E,SI1,,"1,118",335
85,RA,0.30,H,VS2,,"1,060",318
86,RA,0.30,E,VS2,VG,337,67.1
87,RA,0.30,F,VVS1,VG,449,64.4
88,RA,0.30,G,VS1,,"1,157",347
89,RA,0.30,E,VS2,,"1,125",337
90,RA,0.30,G,VS2,VG,330,67.8
91,RA,0.30,G,VVS1,G,407,66.8
92,RA,0.30,D,VVS1,,"1,525",458
93,RA,0.30,D,VS1,,"1,356",407
94,RA,0.30,E,VS2,,"1,313",394
95,RA,0.30,E,VS2,,"1,122",337
96,RA,0.30,D,VS1,,"1,398",419
97,RA,0.30,F,VS2,,"1,271",381
98,RA,0.30,F,VS2,,"1,271",381
99,RA,0.30,G,VVS2,,"1,355",407
100,RA,0.30,E,VVS2,,"1,449",435
101,RA,0.30,F,VS2,,"1,050",315
102,RA,0.30,E,VVS1,,"1,350",405
103,RA,0.30,E,IF,,"1,596",479
104,RA,0.30,E,SI1,VG,299,68.8
105,RA,0.30,F,VVS1,,"1,060",318
106,RA,0.30,D,VVS1,,"1,312",394
107,RA,0.30,E,VVS2,,"1,323",397
108,RA,0.30,D,VS2,,"1,026",308
109,RA,0.30,E,VVS2,,"1,155",346
110,RA,0.30,D,IF,,"1,537",461
111,RA,0.30,D,VVS1,,"1,400",420
112,RA,0.30,D,SI1,,986,296
113,RA,0.30,D,SI1,,952,286
114,RA,0.30,E,SI1,,"1,008",302
115,RA,0.30,E,SI1,,928,278
116,RA,0.30,E,VVS1,,"1,196",359
117,RA,0.30,F,VVS2,,"1,160",348
118,RA,0.30,E,VS1,EX,420,66.5
119,RA,0.30,E,SI2,,868,260
120,RA,0.30,E,SI1,,942,283
121,RA,0.30,D,IF,,"1,708",512
122,RA,0.30,H,VVS1,,"1,060",318
123,RA,0.30,D,IF,,"1,708",512
124,RA,0.30,G,VS1,,"1,060",318
125,RA,0.30,H,IF,,"1,119",336
126,RA,0.30,D,VS2,,"1,119",336
127,RA,0.30,D,IF,,"1,708",512
128,RA,0.30,D,IF,,"1,708",512
129,RA,0.30,D,VS1,,"1,237",371
130,RA,0.30,D,VS1,,"1,237",371
131,RA,0.30,D,SI1,,"1,001",300
132,RA,0.30,D,IF,,"1,708",512
133,RA,0.30,D,IF,,"1,708",512
134,RA,0.30,D,VS1,,"1,237",371
135,RA,0.30,D,IF,,"1,708",512
136,RA,0.30,D,IF,,"1,708",512
137,RA,0.30,E,VS2,,"1,060",318
138,RA,0.30,H,VS1,,"1,575",472
139,RA,0.30,E,VVS2,EX,373,68.9
140,RA,0.30,H,VS1,VG,302,70.3
141,RA,0.30,G,IF,,"1,282",385
142,RA,0.31,E,VVS2,,"1,890",586
143,RA,0.31,F,IF,,"1,275",395
144,RA,0.31,F,VVS1,,"1,274",395
145,RA,0.31,F,VVS2,,"1,250",388
146,RA,0.31,F,VVS2,,"1,250",388
147,RA,0.31,F,VVS2,,"1,250",388
148,RA,0.31,F,VVS1,,"1,325",411
149,RA,0.31,E,VS2,,"1,300",403
150,RA,0.31,E,VS2,,"1,200",372
151,RA,0.31,G,VS1,VG,403,69.3
152,RA,0.31,F,VS1,VG,400,68.2
153,RA,0.31,H,VVS2,EX,376,65.8
154,RA,0.31,H,VS1,VG,355,64.3
155,RA,0.31,G,VVS1,G,436,62.3
156,RA,0.31,D,VS2,G,414,69.5
157,RA,0.31,G,VS2,,"1,169",362
158,RA,0.31,F,VVS2,VG,387,67.3
159,RA,0.31,E,VS1,,"1,572",487
160,RA,0.31,G,VS1,,"1,271",394
161,RA,0.31,H,VVS2,,"1,144",355
162,RA,0.31,E,VS1,,"1,153",357
163,RA,0.31,E,VVS1,G,473,69
164,RA,0.31,D,VS1,,"1,312",407
165,RA,0.31,E,IF,,"1,362",422
166,RA,0.31,D,IF,,"1,348",418
167,RA,0.31,D,VVS1,,"1,400",434
168,RA,0.31,E,VS2,,"1,026",318
169,RA,0.31,E,VVS1,,"1,219",378
170,RA,0.31,E,VVS2,,"1,092",339
171,RA,0.31,E,VS1,,"1,100",341
172,RA,0.31,F,IF,,"1,219",378
173,RA,0.31,D,IF,,"1,708",530
174,RA,0.31,E,IF,EX,386,64
175,RA,0.31,F,VVS1,,"1,302",404
176,RA,0.31,E,VVS2,,"1,225",380
177,RA,0.31,D,IF,,"2,262",701
178,RA,0.32,E,VS2,,"1,152",369
179,RA,0.32,F,VVS1,G,461,67
180,RA,0.32,G,VVS2,,"1,355",434
181,RA,0.32,H,VVS2,,"1,186",380
