,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
0,RD,0.18,D,VVS1,VG,"1,599",288,58.4,61,N
1,RD,0.18,E,IF,VG,"1,600",288,58.9,60,N
2,RD,0.18,E,VVS2,VG,"1,600",288,62.8,60,N
3,RD,0.18,E,VS1,VG,"1,550",279,59.9,60,N
4,RD,0.18,E,VS1,VG,"1,550",279,62.2,58,F
5,RD,0.18,E,VS1,VG,"1,550",279,61.3,59,N
6,RD,0.18,E,VS1,VG,"1,550",279,62.1,55,N
7,RD,0.18,F,IF,VG,"1,525",275,62.6,58,N
8,RD,0.18,F,VVS1,VG,"1,525",275,61.7,60,N
9,RD,0.18,F,VVS1,VG,"1,525",275,62.1,58,N
10,RD,0.18,F,VS1,VG,"1,550",279,59.1,60,N
11,RD,0.18,F,SI2,VG,980,176,58.6,57,N
12,RD,0.18,E,VVS2,VG,"1,394",251,59.8,60,N
13,RD,0.18,F,VVS2,VG,"1,394",251,59.5,59,N
14,RD,0.18,E,VVS2,VG,"1,394",251,60.6,58,N
15,RD,0.18,E,VS1,VG,696,125,59.6,63,N
16,RD,0.18,D,VS2,VG,"1,212",218,61.2,60,N
17,RD,0.18,F,SI1,VG,"1,133",204,57.6,61,N
18,RD,0.18,E,VVS2,VG,"1,453",262,59.7,61,N
19,RD,0.18,G,I1,VG,463,83,60.6,59,N
20,RD,0.18,F,SI1,VG,852,153,64.3,56,N
21,RD,0.18,D,SI2,VG,737,133,61.4,59,N
22,RD,0.18,E,SI1,VG,"1,241",223,60,60,N
23,RD,0.18,E,VVS2,VG,"1,615",291,57.4,60,N
24,RD,0.18,F,VS2,VG,"1,347",242,60.1,59,N
25,RD,0.18,E,SI1,VG,"1,315",237,61.2,56,N
26,RD,0.18,F,VS1,VG,"1,150",207,58.7,63,N
27,RD,0.18,H,VS2,VG,"1,025",184,61.3,59,F
28,RD,0.18,D,VS2,VG,"1,170",211,60.8,62,F
29,RD,0.18,E,VS2,VG,"1,239",223,58.2,64,N
30,RD,0.18,G,VS2,VG,"1,197",215,60.5,62,F
31,RD,0.18,E,VS1,VG,"1,272",229,59.4,58,N
32,RD,0.18,I,SI1,VG,870,157,60.9,61,F
33,RD,0.18,E,SI1,VG,743,134,63.1,59,F
34,RD,0.18,D,VVS2,VG,"1,309",236,59.1,59,N
35,RD,0.18,D,VVS2,VG,"1,210",218,59.2,60,N
36,RD,0.18,D,VS1,VG,"1,257",226,62.7,57,N
37,RD,0.18,D,VS2,VG,"1,083",195,63.2,57,N
38,RD,0.18,D,VS2,VG,"1,058",190,62.1,55,N
39,RD,0.18,D,VS2,VG,994,179,59.3,61,N
40,RD,0.18,D,SI2,VG,801,144,58.1,63,N
41,RD,0.18,E,VS1,VG,966,174,63.6,53,N
42,RD,0.18,F,SI1,VG,847,153,60.6,58,N
43,RD,0.18,F,SI1,VG,841,151,64.6,53,N
44,RD,0.18,F,VVS2,VG,"1,465",264,63.6,53,F
45,RD,0.18,F,SI1,VG,"1,276",230,59,61,F
46,RD,0.18,E,VS2,VG,"1,348",243,62.9,57,N
47,RD,0.18,D,VS1,VG,"1,348",243,62.4,59,N
48,RD,0.18,E,VVS1,VG,"1,676",302,61.1,60,N
49,RD,0.18,E,VVS2,VG,"1,450",261,60.3,58,N
50,RD,0.18,D,IF,VG,"1,842",332,58.7,65,N
51,RD,0.18,F,IF,VG,"1,676",302,58.6,62,N
52,RD,0.18,E,VS1,VG,"1,310",236,62.1,60,N
53,RD,0.18,E,IF,VG,"1,721",310,61.5,61,N
54,RD,0.18,D,VS1,VG,"1,399",252,64.2,57,N
55,RD,0.18,E,VS1,VG,"1,310",236,61.7,57,N
56,RD,0.18,G,VS1,VG,"1,265",228,59.9,58,N
57,RD,0.18,H,VS1,VG,"1,277",230,59.2,58,N
58,RD,0.18,D,SI1,VG,"1,288",232,62.5,60,N
59,RD,0.18,F,VS1,VG,"1,348",243,62.4,62,N
60,RD,0.18,E,VS1,VG,"1,323",238,64.1,56,N
61,RD,0.18,G,VS2,VG,"1,368",246,61.2,60,N
62,RD,0.18,D,IF,VG,"1,842",332,60.4,65,N
63,RD,0.18,E,VS1,VG,"1,298",234,64,55,N
64,RD,0.18,E,VVS2,VG,"1,311",236,57.1,64,N
65,RD,0.18,D,VS1,VG,"1,317",237,58.4,61,N
66,RD,0.18,E,VS1,VG,"1,260",227,58.8,64,N
67,RD,0.18,E,SI2,VG,960,173,60.8,58,N
68,RD,0.18,F,VS1,VG,"1,260",227,58,62,F
69,RD,0.18,E,VS1,VG,"1,020",184,59.9,61,N
70,RD,0.18,F,VS2,VG,962,173,62.7,56,N
71,RD,0.18,E,VVS2,VG,"1,288",232,64.1,58,N
72,RD,0.18,E,VVS2,VG,"1,288",232,61.5,60,F
73,RD,0.18,E,VVS2,VG,"1,288",232,62.2,57,F
74,RD,0.18,E,VVS2,VG,"1,288",232,61.2,60,F
75,RD,0.18,E,VS1,VG,"1,277",230,63.5,58,N
76,RD,0.18,F,I1,VG,"1,035",186,61.4,60,N
77,RD,0.18,E,SI2,VG,"1,056",190,61.6,56,N
78,RD,0.18,H,SI1,VG,"1,120",202,60.4,59,N
79,RD,0.19,E,I2,VG,680,129,58.9,59,N
80,RD,0.19,G,SI1,VG,923,175,61.4,58,N
81,RD,0.19,D,VS1,VG,"1,212",230,60.6,60,N
82,RD,0.19,G,VVS1,VG,"1,299",247,60.5,61,N
83,RD,0.19,D,SI1,VG,"1,133",215,58.5,59,N
84,RD,0.19,E,I1,VG,651,124,61.7,56,N
85,RD,0.19,F,SI1,VG,852,162,57.5,61,N
86,RD,0.19,D,VS2,VG,"1,247",237,60.6,60,N
87,RD,0.19,D,VVS2,VG,"1,344",255,58.7,61,N
88,RD,0.19,D,VVS1,VG,"1,586",301,60,61,N
89,RD,0.19,D,VVS1,VG,"1,661",316,62.5,58,N
90,RD,0.19,D,IF,VG,"1,872",356,57.9,61,N
91,RD,0.19,F,VS1,VG,"1,373",261,62.1,61,N
92,RD,0.19,F,VVS1,VG,"1,359",258,62.02,61,N
93,RD,0.19,E,VVS2,VG,"1,288",245,63.1,57,N
94,RD,0.19,F,SI2,VG,970,184,62,58,N
95,RD,0.19,D,SI2,VG,"1,200",228,62.2,60,N
96,RD,0.19,E,VS2,VG,"1,260",239,61.7,61,N
97,RD,0.19,D,VS2,VG,"1,323",251,62.6,58,N
98,RD,0.19,H,SI2,VG,"1,053",200,62.9,59,F
99,RD,0.2,E,VVS1,VG,"1,600",320,61.8,57,N
100,RD,0.2,E,VVS2,VG,"1,525",305,61.9,58,N
101,RD,0.2,D,IF,VG,"1,812",362,59.4,60,N
102,RD,0.2,G,VVS2,VG,"1,100",220,32.3,57,N
103,RD,0.2,D,IF,VG,"2,114",423,58.4,60,N
104,RD,0.21,G,VVS1,VG,"1,350",284,63.2,56,N
105,RD,0.21,H,VVS2,VG,"1,199",252,61.1,60,F
106,RD,0.21,I,VVS1,VG,"1,158",243,61.2,60,N
107,RD,0.21,I,VVS2,VG,"1,158",243,62.5,59,N
108,RD,0.21,E,VVS2,VG,"1,600",336,58.6,62,N
109,RD,0.21,G,VS2,VG,"1,026",215,62,57,N
110,RD,0.21,D,IF,VG,"2,295",482,62.6,58,N
111,RD,0.21,F,VS2,VG,"1,134",238,61.9,61,N
112,RD,0.21,G,VS2,VG,"1,045",219,61.1,59,N
113,RD,0.22,I,VVS2,VG,"1,158",255,63.3,58,N
114,RD,0.22,F,VS1,VG,"1,225",270,59.7,63,N
115,RD,0.22,F,VVS1,VG,"1,600",352,62.4,55,N
116,RD,0.22,D,VVS1,VG,"2,149",473,58.1,65,N
117,RD,0.22,I,VVS1,VG,"1,414",311,59.3,62,F
118,RD,0.22,F,VS2,VG,"1,134",249,61.5,60,N
119,RD,0.23,E,VVS2,VG,"2,050",471,63.9,58,F
120,RD,0.23,F,VVS2,VG,"2,050",471,59.4,60,N
121,RD,0.23,E,VVS2,VG,"2,059",474,60,59,N
122,RD,0.23,D,VS2,VG,"1,410",324,62.4,58,F
123,RD,0.23,D,VS2,VG,"1,490",343,61.2,63,N
124,RD,0.23,E,VS1,VG,"1,500",345,62.9,58,N
125,RD,0.23,D,VS2,VG,"1,440",331,63,56,F
126,RD,0.23,D,VS2,VG,"1,500",345,64.4,57,N
127,RD,0.23,E,VS2,VG,"1,550",356,61.7,59,N
128,RD,0.23,E,VS1,VG,"1,560",359,61.3,57,N
129,RD,0.23,D,VVS1,VG,"1,780",409,62.4,59,N
130,RD,0.23,D,VVS1,VG,"1,750",403,62.7,57,N
131,RD,0.23,D,VVS2,VG,"1,750",403,58.3,64,N
132,RD,0.23,D,VVS2,VG,"1,750",403,62.5,58,N
133,RD,0.23,D,VVS2,VG,"1,750",403,59.7,62,N
134,RD,0.23,D,VVS2,VG,"1,848",425,63.2,58,N
135,RD,0.23,D,VS1,VG,"1,700",391,60.6,62,N
136,RD,0.23,D,VS1,VG,"1,700",391,58.4,61,N
137,RD,0.23,D,VS1,VG,"1,700",391,62.2,61,N
138,RD,0.23,E,VVS1,VG,"1,848",425,62.2,59,N
139,RD,0.23,E,VVS1,VG,"1,750",403,62.1,59,N
140,RD,0.23,E,VVS2,VG,"1,750",403,63.1,57,N
141,RD,0.23,E,VVS2,VG,"1,848",425,62.4,59,N
142,RD,0.23,E,VVS2,VG,"1,750",403,62.3,58,F
143,RD,0.23,E,VS1,VG,"1,700",391,62.4,59,N
144,RD,0.23,E,VS1,VG,"1,700",391,58.8,62,N
145,RD,0.23,E,VS1,VG,"1,638",377,58.3,61,N
146,RD,0.23,E,VS1,VG,"1,700",391,62.5,59,F
147,RD,0.23,E,VS1,VG,"1,700",391,62.5,58,N
148,RD,0.23,F,VVS1,VG,"1,750",403,61.7,57,N
149,RD,0.23,F,VVS2,VG,"1,750",403,62.1,59,F
150,RD,0.23,F,VVS2,VG,"1,848",425,63.9,57,F
151,RD,0.23,F,VVS2,VG,"1,750",403,62.3,56,N
152,RD,0.23,F,VVS2,VG,"1,700",391,61.8,60,N
153,RD,0.23,F,VVS2,VG,"1,848",425,61.2,60,N
154,RD,0.23,D,VS1,VG,"1,700",391,62.8,59,N
155,RD,0.23,D,VS1,VG,"1,566",360,57.6,62,N
156,RD,0.23,G,VVS1,VG,"1,850",426,61.6,59,N
157,RD,0.23,G,VS1,VG,"1,364",314,62.4,60,N
158,RD,0.23,H,VVS1,VG,"1,850",426,62.8,57,N
159,RD,0.23,H,VVS2,VG,"1,626",374,62.4,59,N
160,RD,0.23,D,VVS1,VG,"1,789",411,58.8,62,N
161,RD,0.23,D,VS2,VG,"1,570",361,62.7,58,F
162,RD,0.23,D,VS2,VG,"1,520",350,61.7,51,N
