,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
0,EC,0.18,G,IF,,"1,151",207,65.7,69,N
1,EC,0.18,E,VVS2,,"1,260",227,70.8,70,N
2,EC,0.18,E,SI2,EX,441,79,79.5,61,N
3,EC,0.18,F,VVS1,EX,958,172,59.4,60,N
4,EC,0.18,F,SI1,EX,986,177,65,67,N
5,EC,0.18,D,VS2,,905,163,59.1,65,N
6,EC,0.18,D,SI1,,925,167,66,66,N
7,EC,0.18,E,VS1,,"1,096",197,65.9,68,N
8,EC,0.18,F,VVS2,,753,136,55,70,F
9,EC,0.18,F,VS1,,937,169,66.4,69,N
10,EC,0.18,F,VS1,,733,132,70.8,76,F
11,EC,0.18,G,VVS2,,928,167,70.6,70,N
12,EC,0.18,G,VS1,,881,159,66.3,68,N
13,EC,0.18,D,IF,,"1,090",196,59.6,68,N
14,EC,0.18,E,VS1,,987,178,59.4,73,F
15,EC,0.19,D,VVS1,EX,933,177,61.3,65,N
16,EC,0.19,E,VS2,EX,832,158,58.2,62,N
17,EC,0.19,E,SI1,EX,713,135,60.3,66,N
18,EC,0.19,E,VS1,EX,728,138,53.7,71,N
19,EC,0.19,G,VVS2,EX,813,155,62,60,N
20,EC,0.19,F,VS2,EX,655,124,77.4,64,N
21,EC,0.19,F,VVS1,EX,"1,118",212,65.9,62,N
22,EC,0.19,D,VVS1,EX,"1,383",263,63.8,64,N
23,EC,0.19,F,VS2,EX,"1,171",223,62.7,62,N
24,EC,0.19,D,IF,,"1,252",238,60.9,77,N
25,EC,0.19,E,IF,,"1,261",240,63,69,N
26,EC,0.19,E,VVS1,,"1,284",244,59.5,68,N
27,EC,0.19,F,VS2,,865,164,65.2,73,N
28,EC,0.2,F,IF,EX,921,184,55.5,61,N
29,EC,0.2,D,SI1,,919,184,65.3,69,N
30,EC,0.21,H,VS2,EX,895,188,62.2,62,N
31,EC,0.22,F,VVS2,EX,"1,040",229,67.7,69,N
32,EC,0.22,E,VVS2,EX,"1,245",274,61.8,63,N
33,EC,0.23,D,VS1,,"1,330",306,63.1,71,N
34,EC,0.23,E,VS1,EX,"1,157",266,50,59,N
35,EC,0.23,E,VS1,EX,"1,273",293,59.3,68,N
36,EC,0.23,F,SI2,EX,713,164,62.4,64,F
37,EC,0.23,D,VVS1,,"1,803",415,67.3,71,N
38,EC,0.23,D,IF,,"1,803",415,75.9,63,F
39,EC,0.23,F,VS1,EX,"1,114",256,63.3,60,N
40,EC,0.23,G,VS1,EX,963,221,63.4,59,N
41,EC,0.23,G,SI1,,765,176,70.7,65,N
42,EC,0.24,I,VVS2,,"1,133",272,79.9,70,N
43,EC,0.24,E,SI1,,"1,279",307,62.4,82,N
44,EC,0.24,G,VS2,EX,"1,117",268,66.5,62,N
45,EC,0.24,H,VS2,EX,"1,117",268,63.1,62,N
46,EC,0.24,F,VVS2,EX,"1,330",319,53.1,68,N
47,EC,0.24,D,VVS2,EX,"1,116",268,55.1,66,N
48,EC,0.24,D,VVS1,,"1,739",417,65.6,70,F
49,EC,0.24,E,VVS1,EX,"1,117",268,65.2,61,N
50,EC,0.24,E,SI1,,761,183,66.4,68,N
51,EC,0.25,E,VS2,,"1,161",290,63.5,74,N
52,EC,0.25,E,VVS1,,"1,288",322,68.6,60,N
53,EC,0.26,G,VVS1,,"1,405",365,71.2,76,N
54,EC,0.26,E,SI1,,"1,279",333,65.2,84,N
55,EC,0.26,F,VVS1,,805,209,67.2,71,N
56,EC,0.26,G,VS1,EX,"1,153",300,67.5,64,N
57,EC,0.26,F,VVS1,EX,"1,223",318,64.9,66,N
58,EC,0.26,F,VVS1,EX,"1,223",318,66.8,70,N
59,EC,0.26,E,VVS2,EX,"1,333",347,66.1,68,N
60,EC,0.26,H,I1,,554,144,73.2,78,F
61,EC,0.26,H,SI1,,960,250,71.1,75,N
62,EC,0.26,D,VVS1,,"1,771",460,73.1,72,N
63,EC,0.26,F,SI1,EX,920,239,63,64,N
64,EC,0.27,F,SI2,,"1,222",330,58.9,69,N
65,EC,0.27,G,VVS2,EX,"1,071",289,55.6,69,N
66,EC,0.27,F,SI1,,"1,052",284,66.2,64,N
67,EC,0.27,D,VVS1,,"1,175",317,72.7,64,N
68,EC,0.28,H,VVS2,,"1,738",487,65.9,62,N
69,EC,0.28,F,SI1,,"1,045",293,64,69,N
70,EC,0.28,F,VVS1,,"1,594",446,66.5,74,N
