,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
0,PS,0.18,E,SI1,,"1,455",262,63.3,61.0,N
1,PS,0.18,E,SI1,,"1,455",262,67.3,58.0,N
2,PS,0.18,F,SI1,,"1,406",253,66.9,61.0,N
3,PS,0.18,E,VVS2,,"1,302",234,67.7,61.0,N
4,PS,0.18,E,VS2,,"1,276",230,62,55.0,N
5,PS,0.18,D,VS1,,"1,624",292,67.4,58.0,N
6,PS,0.18,D,VS2,,"1,682",303,65.5,53.0,N
7,PS,0.18,F,VS1,,"1,624",292,66.8,57.0,F
8,PS,0.18,D,VVS2,,"1,986",358,62.5,58.0,F
9,PS,0.18,E,VVS2,,"1,918",345,61.2,55.0,N
10,PS,0.18,D,SI1,,"1,406",253,63,60.0,N
11,PS,0.18,G,VS2,,"1,479",266,66.4,55.0,N
12,PS,0.18,G,SI1,,"1,275",230,69,59.0,F
13,PS,0.18,E,SI1,,"1,406",253,64.6,63.0,N
14,PS,0.18,G,VS2,,"1,530",275,67.6,53.0,N
15,PS,0.18,I,VS2,,"1,190",214,65.3,59.0,F
16,PS,0.18,F,VS2,,"1,740",313,67.8,56.0,N
17,PS,0.18,D,VS2,,"1,682",303,62.7,62.0,F
18,PS,0.18,E,SI1,,"1,455",262,66.7,55.0,N
19,PS,0.18,E,SI1,,"1,164",210,63,58.0,F
20,PS,0.18,E,SI1,,"1,067",192,62.2,55.0,N
21,PS,0.18,F,SI2,,"1,189",214,61.7,60.0,N
22,PS,0.18,E,SI2,,943,170,64.1,55.0,N
23,PS,0.18,E,VS1,EX,"1,179",212,58.7,66.0,N
24,PS,0.18,E,VVS2,EX,"1,139",205,57.3,61.0,N
25,PS,0.18,F,VVS2,EX,"1,139",205,59.4,62.0,N
26,PS,0.18,F,VVS2,EX,"1,241",223,58.4,63.0,N
27,PS,0.18,D,VVS1,EX,"1,165",210,59.5,60.0,N
28,PS,0.18,D,VS2,EX,"1,050",189,56.1,57.0,N
29,PS,0.18,E,VS1,EX,858,154,51.5,67.0,N
30,PS,0.18,F,VS1,EX,"1,050",189,56.3,65.0,N
31,PS,0.18,D,VVS2,EX,"1,169",210,61,61.0,N
32,PS,0.18,F,SI1,,"1,455",262,62.6,58.0,N
33,PS,0.18,I,SI1,,"1,204",217,65.5,60.0,F
34,PS,0.18,I,SI2,,"1,054",190,64,61.0,N
35,PS,0.18,H,SI1,,"1,360",245,66.6,56.0,F
36,PS,0.18,E,SI1,,"1,455",262,68,62.0,N
37,PS,0.18,F,SI2,,"1,230",221,61.2,58.0,N
38,PS,0.18,D,SI2,,"1,353",244,68.6,58.0,F
39,PS,0.18,G,VS2,EX,"1,092",197,60.8,61.0,N
40,PS,0.18,F,VVS2,EX,"1,356",244,58.3,64.0,N
41,PS,0.18,F,SI1,,954,172,61.2,63.0,N
42,PS,0.18,D,VVS1,,"1,405",253,57.9,65.0,N
43,PS,0.18,D,VVS1,,"1,469",264,63.2,67.0,N
44,PS,0.18,D,VVS1,,"1,222",220,52,59.0,N
45,PS,0.18,D,VVS1,,"1,391",250,63.6,65.0,N
46,PS,0.18,D,VVS2,,"1,340",241,65.7,58.0,N
47,PS,0.18,D,VVS2,,"1,318",237,56.2,63.0,N
48,PS,0.18,D,VS1,,"1,292",233,63,66.0,N
49,PS,0.18,D,VS1,,"1,360",245,56.5,62.0,N
50,PS,0.18,D,VS1,,"1,268",228,59.6,64.0,N
51,PS,0.18,D,VS2,,"1,250",225,60.7,63.0,N
52,PS,0.18,D,VS2,,"1,036",186,55.3,57.0,F
53,PS,0.18,D,SI1,,"1,098",198,65.5,65.0,N
54,PS,0.18,E,VVS1,,"1,254",226,61.9,66.0,N
55,PS,0.18,E,VVS1,,"1,147",206,64.2,61.0,N
56,PS,0.18,E,VS1,,"1,244",224,63.1,57.0,N
57,PS,0.18,E,VS1,,"1,129",203,61.7,59.0,F
58,PS,0.18,E,VS2,,"1,712",308,59.7,60.0,N
59,PS,0.18,E,VS2,,"1,387",250,54.9,61.0,N
60,PS,0.18,F,VVS2,,"1,295",233,58.7,60.0,N
61,PS,0.18,F,VS1,,"1,088",196,60.8,67.0,F
62,PS,0.18,F,VS1,,"1,324",238,67.2,56.0,N
63,PS,0.18,F,VS2,,"1,049",189,63.1,61.0,N
64,PS,0.18,F,VS2,,"1,055",190,63.3,65.0,N
65,PS,0.19,F,VS1,,"1,624",309,64.5,60.0,N
66,PS,0.19,F,VVS2,,"1,233",234,65.4,59.0,N
67,PS,0.19,F,VVS1,,"1,233",234,57.1,62.0,N
68,PS,0.19,F,VS2,,"1,682",320,60.7,60.0,N
69,PS,0.19,F,VS2,,"1,682",320,62.5,63.0,N
70,PS,0.19,E,VS1,,"1,566",298,61.2,60.0,F
71,PS,0.19,D,VVS2,,959,182,61.8,54.0,F
72,PS,0.19,E,VS2,,"1,450",276,68.6,52.0,N
73,PS,0.19,D,VS1,,"1,624",309,65.4,57.0,N
74,PS,0.19,D,SI1,,"1,067",203,65.4,56.0,N
75,PS,0.19,E,SI1,,"1,116",212,71.3,58.0,N
76,PS,0.19,F,SI1,,"1,358",258,67,50.0,N
77,PS,0.19,F,SI2,,"1,189",226,61.9,58.0,N
78,PS,0.19,D,I1,,986,187,63.1,58.0,N
79,PS,0.19,D,VS2,EX,965,183,56.7,60.0,N
80,PS,0.19,F,VS1,EX,965,183,54.1,65.0,N
81,PS,0.19,E,SI1,EX,807,153,60.5,54.0,N
82,PS,0.19,D,SI1,EX,986,187,60.3,56.0,N
83,PS,0.19,F,VS1,,"1,218",231,58.7,59.0,F
84,PS,0.19,F,VVS2,,"1,507",286,65.3,56.0,F
85,PS,0.19,D,SI2,,"1,394",265,67.3,56.0,N
86,PS,0.19,D,SI2,,"1,230",234,64.9,59.0,F
87,PS,0.19,E,SI2,,"1,353",257,65.7,61.0,N
88,PS,0.19,G,SI1,,"1,318",250,56.9,59.0,N
89,PS,0.19,I,SI1,,"1,132",215,60,57.0,N
90,PS,0.19,F,VS1,EX,"1,160",220,55.4,64.0,N
91,PS,0.19,D,IF,,"1,683",320,57.7,61.0,N
92,PS,0.19,D,IF,,"1,563",297,55.7,64.0,N
93,PS,0.19,D,IF,,"1,815",345,63.9,61.0,N
94,PS,0.19,D,VVS1,,"1,385",263,58.9,63.0,N
95,PS,0.19,D,VVS2,,"1,217",231,53.2,64.0,N
96,PS,0.19,D,VVS2,,"1,292",246,66.9,67.0,N
97,PS,0.19,D,VS1,,"1,372",261,62.5,57.0,N
98,PS,0.19,D,VS1,,"1,302",247,65.9,63.0,N
99,PS,0.19,D,VS1,,"1,302",247,64.1,59.0,N
100,PS,0.19,D,VS1,,"1,085",206,64.5,54.0,F
101,PS,0.19,D,VS1,,"1,224",233,65.2,63.0,F
102,PS,0.19,E,IF,,"1,614",307,56.4,62.0,N
103,PS,0.19,E,VVS1,,"1,333",253,62.3,63.0,N
104,PS,0.19,E,VS1,,"1,370",260,60.8,63.0,N
105,PS,0.19,E,VS1,,"1,370",260,60.4,64.0,N
106,PS,0.19,E,VS1,,"1,280",243,64.4,61.0,N
107,PS,0.19,E,VS1,,"1,334",253,58.1,60.0,N
108,PS,0.19,E,VS1,,"1,299",247,60,58.0,N
109,PS,0.19,E,SI1,,989,188,64.6,60.0,N
110,PS,0.19,F,IF,,"1,330",253,63.8,56.0,N
111,PS,0.19,F,VS1,,"1,092",207,67.5,61.0,F
112,PS,0.19,F,SI1,,914,174,61.9,60.0,F
113,PS,0.20,E,VVS2,,"1,507",301,68.9,57.0,F
114,PS,0.20,F,VVS1,,"1,644",329,66.5,59.0,N
115,PS,0.20,E,VVS1,,"2,731",546,50.1,57.0,N
116,PS,0.20,E,VS1,,"1,914",383,65.9,59.0,N
117,PS,0.20,F,SI1,,"1,649",330,64.6,53.0,F
118,PS,0.20,D,VS1,,"1,322",264,62.3,60.0,N
119,PS,0.20,D,VVS1,,"1,630",326,59.2,62.0,N
120,PS,0.20,D,VVS2,,"1,293",259,68.7,58.0,N
121,PS,0.20,D,VVS2,,"1,326",265,64.4,54.0,N
122,PS,0.20,E,VVS1,,"1,419",284,58,71.0,N
123,PS,0.20,E,VVS2,,"1,280",256,61.1,63.0,N
124,PS,0.20,E,VS2,,"1,227",245,62.4,62.0,N
125,PS,0.21,D,VS1,,"1,594",335,64,62.0,N
126,PS,0.21,E,VS2,,"1,115",234,57.6,68.0,N
127,PS,0.22,E,VS1,,"1,296",285,59.3,59.0,F
128,PS,0.22,F,VVS1,,"1,576",347,67.1,60.0,N
129,PS,0.22,D,VVS1,EX,"1,258",277,57.1,60.0,N
130,PS,0.22,D,IF,,"1,392",306,54.8,63.0,N
131,PS,0.22,D,VVS1,,"1,443",317,55.1,58.0,N
132,PS,0.22,D,VS2,,"1,242",273,62.9,60.0,N
133,PS,0.22,D,VS2,,"1,782",392,57.4,68.0,N
134,PS,0.22,E,VS1,,"1,343",296,58.5,57.0,N
135,PS,0.22,F,VS1,,"1,330",293,65.5,58.0,N
136,PS,0.23,F,VS1,,"1,610",370,64.9,58.0,F
137,PS,0.23,F,SI1,,"1,540",354,58.6,59.0,N
138,PS,0.23,G,VS2,,"1,573",362,69.4,57.0,N
139,PS,0.23,D,VS1,,"1,680",386,63.2,65.0,F
140,PS,0.23,F,VS1,,"2,030",467,64.4,55.0,N
141,PS,0.23,E,I1,,"1,024",236,60.8,60.0,N
142,PS,0.23,E,SI1,,"1,595",367,63.8,60.0,N
143,PS,0.23,D,SI1,,"1,595",367,56.4,60.0,F
144,PS,0.23,E,VVS1,EX,"1,534",353,59.3,63.0,N
145,PS,0.23,E,VS1,EX,"1,260",290,57.2,62.0,N
146,PS,0.23,E,VVS2,EX,"1,220",281,53,65.0,N
147,PS,0.23,D,SI1,,"1,122",258,55.9,53.0,N
148,PS,0.23,I,VVS2,,"1,770",407,60.6,58.0,N
149,PS,0.23,H,VS2,,"1,876",431,56.9,63.0,F
150,PS,0.23,E,SI2,,"1,457",335,68,58.0,F
151,PS,0.23,E,SI1,,"1,870",430,59,62.0,N
152,PS,0.23,G,VVS1,EX,"1,366",314,58.6,62.0,N
153,PS,0.23,F,SI1,,"1,607",370,62.3,60.0,N
154,PS,0.23,D,VVS1,,"1,140",262,58.7,76.0,N
155,PS,0.23,D,VVS2,,"1,260",290,63.9,58.0,N
156,PS,0.23,D,VS1,,"1,380",317,62.2,62.0,N
157,PS,0.23,D,VS1,,"1,364",314,58.8,67.0,N
158,PS,0.23,D,VS2,,"1,961",451,61.2,60.0,N
159,PS,0.23,E,VVS1,,"1,282",295,60.5,63.0,N
160,PS,0.23,E,VS1,,"1,359",312,57.6,61.0,N
161,PS,0.23,E,VS1,,"1,208",278,65.8,67.0,N
162,PS,0.23,E,VS1,,"1,279",294,64.1,61.0,N
163,PS,0.23,E,VS2,,"1,154",265,65,56.0,N
164,PS,0.23,E,VS2,,"1,142",263,59,63.0,N
165,PS,0.23,E,VS2,,"1,138",262,63.8,60.0,N
166,PS,0.23,E,VS2,,"1,128",259,66.2,60.0,N
167,PS,0.23,F,VS2,,"1,139",262,60,62.0,N
168,PS,0.23,G,VVS2,,"1,292",297,64.7,61.0,N
169,PS,0.23,G,VS1,,"1,103",254,59.3,67.0,N
170,PS,0.24,H,SI1,,"1,406",338,58.3,52.0,N
171,PS,0.24,E,SI1,,"1,595",383,64.7,56.0,N
172,PS,0.24,D,SI1,,847,203,62,62.0,N
173,PS,0.24,F,VVS2,EX,"1,534",368,55.4,64.0,N
174,PS,0.24,E,VVS1,EX,"1,220",293,59.7,60.0,N
175,PS,0.24,E,VVS1,EX,"1,097",263,58.2,60.0,N
176,PS,0.24,E,VVS1,EX,"1,097",263,58.2,57.0,N
177,PS,0.24,F,SI1,,"1,430",343,59.4,61.0,N
178,PS,0.24,D,I1,,"1,056",253,62.5,61.0,F
179,PS,0.24,E,SI1,,"1,760",422,60.2,59.0,N
180,PS,0.24,H,VS1,,"1,876",450,66.4,58.0,N
181,PS,0.24,D,VVS2,,"1,401",336,64,55.0,N
182,PS,0.24,D,VVS2,,"1,417",340,60.1,58.0,N
