,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
0,MQ,0.18,D,SI1,,"2,515",453,59.3,60,F
1,MQ,0.18,F,VS2,,"1,508",271,59.9,58,N
2,MQ,0.18,E,VVS2,,"1,712",308,58.2,59,N
3,MQ,0.18,G,VVS2,,"1,512",272,61.7,58,N
4,MQ,0.18,F,VS2,,"1,566",282,59.8,63,F
5,MQ,0.18,F,VS2,,"1,276",230,70,55,F
6,MQ,0.18,F,SI1,,"1,358",244,64.4,56,F
7,MQ,0.18,F,VVS2,,"1,781",321,64.9,60,N
8,MQ,0.18,E,SI2,,902,162,65.3,57,N
9,MQ,0.18,D,VS2,,"1,450",261,62.7,57,F
10,MQ,0.18,E,SI2,,"1,230",221,62.7,56,N
11,MQ,0.18,F,SI2,,"1,271",229,61.2,57,F
12,MQ,0.18,F,SI1,,"1,455",262,65.8,53,N
13,MQ,0.18,F,VS2,,"1,276",230,56.8,53,N
14,MQ,0.18,F,SI2,,"1,107",199,61.1,58,N
15,MQ,0.18,D,VVS1,,"1,531",276,63.9,61,F
16,MQ,0.18,D,VVS2,,"1,635",294,56.4,63,N
17,MQ,0.18,D,VS1,,"1,362",245,63.3,50,N
18,MQ,0.18,D,VS2,,"1,301",234,60.2,67,N
19,MQ,0.18,D,SI1,,"1,290",232,59.9,58,N
20,MQ,0.18,E,VVS2,,"1,510",272,63.1,59,N
21,MQ,0.18,E,VS1,,"1,485",267,69.6,61,N
22,MQ,0.18,E,VS1,,"1,753",316,63.2,61,N
23,MQ,0.18,E,VS1,,"1,445",260,56.3,67,N
24,MQ,0.18,E,VS1,,"1,533",276,62.3,59,N
25,MQ,0.18,E,VS1,,"1,467",264,59.3,64,N
26,MQ,0.18,E,VS2,,"1,423",256,61.2,54,N
27,MQ,0.18,E,VS2,,"1,299",234,64.2,64,N
28,MQ,0.18,F,VVS2,,"1,523",274,63.8,58,N
29,MQ,0.18,F,VS2,,"1,313",236,58.6,59,N
30,MQ,0.18,F,SI2,,"1,066",192,65.4,60,N
31,MQ,0.19,D,VVS1,,"2,071",393,59.7,61,N
32,MQ,0.19,F,VS2,,"1,392",264,58.5,57,N
33,MQ,0.19,E,VS2,,"1,566",298,65.2,59,N
34,MQ,0.19,E,VS2,,"1,624",309,63,58,N
35,MQ,0.19,G,VS2,,"1,377",262,65.3,57,F
36,MQ,0.19,F,VS2,,"1,566",298,65.3,59,F
37,MQ,0.19,G,VS2,,"1,377",262,59.4,59,N
38,MQ,0.19,F,SI2,,"1,271",241,67.5,58,N
39,MQ,0.19,H,VVS2,,"1,028",195,59.1,57,N
40,MQ,0.19,E,VS2,,"1,392",264,60.3,56,F
41,MQ,0.19,D,SI2,,"1,230",234,63.2,57,N
42,MQ,0.19,D,SI2,,"1,230",234,68.1,54,F
43,MQ,0.19,D,SI1,,"1,261",240,60.6,55,N
44,MQ,0.19,E,SI2,,"1,066",203,69.3,63,N
45,MQ,0.19,D,VVS1,,"1,841",350,63.6,58,N
46,MQ,0.19,D,VVS1,,"1,758",334,62.4,56,N
47,MQ,0.19,D,VS1,,"1,731",329,60.1,60,N
48,MQ,0.19,D,VS2,,"1,527",290,58.8,64,N
49,MQ,0.19,E,VVS1,,"1,701",323,60.5,66,N
50,MQ,0.19,E,VVS2,,"1,651",314,62.4,55,N
51,MQ,0.19,E,VS1,,"1,619",308,59.5,56,N
52,MQ,0.19,E,VS1,,"1,485",282,55.1,59,N
53,MQ,0.19,E,VS1,,"1,519",289,55.6,61,N
54,MQ,0.19,E,VS2,,"1,418",269,67.6,58,N
55,MQ,0.19,E,SI1,,"1,223",232,61.2,61,N
56,MQ,0.19,F,VS1,,"2,430",462,68.4,58,N
57,MQ,0.19,F,VS2,,"1,472",280,62.4,61,N
58,MQ,0.19,G,VS2,,"1,283",244,64.5,59,N
59,MQ,0.2,D,VVS1,,"2,071",414,58,60,N
60,MQ,0.2,F,VVS1,,"2,340",468,58.9,58,N
61,MQ,0.2,F,VVS2,,"1,438",288,69,63,N
62,MQ,0.2,G,VVS2,,"1,452",290,60.5,59,F
63,MQ,0.2,F,VS2,,"1,500",300,66.2,65,N
64,MQ,0.2,D,VS1,,"1,623",325,60.9,63,N
65,MQ,0.2,E,VS2,,"1,392",278,64.8,64,N
