,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
0,OV,0.18,F,SI1,EX,713,128,64.8,56,N
1,OV,0.18,E,VS2,EX,853,153,57.2,65,N
2,OV,0.18,D,VVS2,EX,"1,393",251,58.8,61,N
3,OV,0.18,E,VS2,,754,136,57.6,58,F
4,OV,0.18,F,VS2,,928,167,60.3,57,N
5,OV,0.18,D,VVS1,,"1,407",253,59,69,N
6,OV,0.18,D,VS2,,"1,141",205,67.8,54,N
7,OV,0.18,E,VVS2,,"1,336",241,64.6,60,N
8,OV,0.18,E,VS2,,"1,113",200,65.3,64,N
9,OV,0.18,G,VS1,,"1,202",216,62,61,F
10,OV,0.19,F,SI2,EX,603,114,59.4,60,N
11,OV,0.19,F,VS2,EX,863,164,56.9,61,N
12,OV,0.19,F,VS1,,"1,201",228,62.4,59,N
13,OV,0.2,E,SI1,,"1,098",220,58.3,59,N
14,OV,0.2,D,VS2,,"1,381",276,60.7,62,N
15,OV,0.21,D,VVS2,,"1,395",293,57,63,N
16,OV,0.21,G,VVS1,,"1,206",253,62.7,60,N
17,OV,0.22,E,VVS2,,"1,447",318,65.2,59,N
18,OV,0.23,D,VVS2,,"1,675",385,58.7,57,N
19,OV,0.23,D,VS1,,"2,030",467,61.6,65,N
20,OV,0.23,D,I1,,"1,056",243,70.5,54,N
21,OV,0.23,H,VS2,,"1,754",404,59,60,F
22,OV,0.23,E,VS2,EX,"1,171",269,57.6,65,N
23,OV,0.23,D,IF,EX,"1,314",302,61.9,61,N
24,OV,0.23,E,SI1,EX,"1,043",240,59,65,N
25,OV,0.23,F,VS2,,"1,820",419,61.1,61,N
26,OV,0.24,G,VVS1,,"1,480",355,58.7,61,F
27,OV,0.24,E,SI2,,"1,457",350,57.8,63,F
28,OV,0.24,G,IF,ID,"1,320",317,59.5,59,N
29,OV,0.24,D,VS2,EX,"1,114",267,59.3,67,N
30,OV,0.24,E,VS2,,"1,750",420,62.5,60,N
31,OV,0.24,D,VS2,,"2,030",487,58.6,63,F
32,OV,0.24,D,VVS1,,"1,497",359,60.1,60,N
33,OV,0.24,E,VVS2,,"1,352",325,59.9,60,N
